number;name;img_url;porcentagem;votos
4545;Mara Rocha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/mara-rocha-4545-min.jpg;9,42%;40047
1515;Jéssica Sales;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/jessica-sales-1515-min.jpg;6,76%;28717
2525;Alan Rick;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/alan-rick-2525-min.jpg;5,24%;22263
7777;Dra. Vanda Milani;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/dra-vanda-milani-7777-min.jpg;5,23%;22219
1555;Flaviano Melo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/flaviano-melo-1555-min.jpg;4,41%;18723
6513;Perpetua Almeida;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/perpetua-almeida-6513-min.jpg;4,32%;18374
1212;Jesus Sérgio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/jesus-sergio-1212-min.jpg;2,24%;9537
1010;Pastor Manuel Marcos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/pastor-manuel-marcos-1010-min.jpg;1,76%;7489
2222;Antônia Lúcia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/antonia-lucia-2222-min.jpg;3,61%;15336
1331;Leo de Brito;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/leo-de-brito-1331-min.jpg;3,50%;14881
1314;Angelim;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/angelim-1314-min.jpg;3,32%;14123
1122;Rudilei Estrela;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/rudilei-estrela-1122-min.jpg;3,04%;12905
5555;Marivaldo Melo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/marivaldo-melo-5555-min.jpg;2,84%;12049
4040;César Messias;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/cesar-messias-4040-min.jpg;2,53%;10769
1313;Sibá Machado;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/siba-machado-1313-min.jpg;2,24%;9533
1144;Nelson Sales;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/nelson-sales-1144-min.jpg;2,16%;9165
1233;Eber Machado;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/eber-machado-1233-min.jpg;1,98%;8400
1234;José Adriano;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/jose-adriano-1234-min.jpg;1,61%;6858
1910;Railson Correia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/railson-correia-1910-min.jpg;1,41%;5979
2323;Rosana Nascimento;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/rosana-nascimento-2323-min.jpg;1,40%;5948
1255;Cristovam Moura;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/cristovam-moura-1255-min.jpg;1,31%;5587
3333;Ten. Coronel Emilio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/ten-coronel-emilio-3333-min.jpg;1,30%;5536
4343;Henrique Afonso;https://cdn-eleicoes.gazetadopovo.com.br/fotos/acre/deputado-federal/henrique-afonso-4343-min.jpg;1,24%;5272
