number;name;img_url;porcentagem;votos
4040;Jhc;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/jhc-4040-min.jpg;12,25%;178645
1111;Arthur Lira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/arthur-lira-1111-min.jpg;9,86%;143858
5555;Marx Beltrão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/marx-beltrao-5555-min.jpg;9,56%;139458
2222;Sérgio Toledo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/sergio-toledo-2222-min.jpg;6,73%;98201
1400;Nivaldo Albuquerque;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/nivaldo-albuquerque-1400-min.jpg;5,82%;84956
1515;Isnaldo Bulhões;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/isnaldo-bulhoes-1515-min.jpg;4,93%;71847
1010;Severino Pessôa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/severino-pessoa-1010-min.jpg;4,83%;70413
1313;Paulão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/paulao-1313-min.jpg;4,18%;60900
4544;Tereza Nelma;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/tereza-nelma-4544-min.jpg;3,03%;44207
1212;Ronaldo Lessa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/ronaldo-lessa-1212-min.jpg;3,80%;55474
7070;Givaldo Carimbão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/givaldo-carimbao-7070-min.jpg;3,74%;54620
4566;Pedro Vilela;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/pedro-vilela-4566-min.jpg;2,55%;37203
4500;Eduardo Canuto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/eduardo-canuto-4500-min.jpg;2,19%;31937
2800;Emmanuel Fortes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/emmanuel-fortes-2800-min.jpg;1,56%;22702
3333;Olívia Tenório;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/olivia-tenorio-3333-min.jpg;1,39%;20280
3636;Fernando James;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/fernando-james-3636-min.jpg;1,11%;16250
1144;Zé Luiz dos Anjos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/ze-luiz-dos-anjos-1144-min.jpg;0,86%;12508
2000;Coronel do Valle;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/coronel-do-valle-2000-min.jpg;0,82%;12014
2323;Regis Cavalcante;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/regis-cavalcante-2323-min.jpg;0,76%;11134
1110;Dr. Hemerson Casado;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/dr-hemerson-casado-1110-min.jpg;0,64%;9311
9090;Beto da Farmácia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/beto-da-farmacia-9090-min.jpg;0,47%;6808
1999;Alvaro Vasconcelos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/alagoas/deputado-federal/alvaro-vasconcelos-1999-min.jpg;0,45%;6590
