number;name;img_url;porcentagem;votos
1313;José Ricardo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/jose-ricardo-1313-min.jpg;11,19%;197270
1717;Delegado Pablo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/delegado-pablo-1717-min.jpg;8,60%;151649
1111;Atila Lins;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/atila-lins-1111-min.jpg;6,73%;118700
1010;Silas Câmara;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/silas-camara-1010-min.jpg;6,65%;117181
1000;Capitão Alberto Neto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/capitao-alberto-neto-1000-min.jpg;6,08%;107168
2222;Marcelo Ramos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/marcelo-ramos-2222-min.jpg;6,06%;106805
5555;Sidney Leite;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/sidney-leite-5555-min.jpg;4,39%;77458
7777;Bosco Saraiva;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/bosco-saraiva-7777-min.jpg;3,15%;55477
4545;Conceição Sampaio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/conceicao-sampaio-4545-min.jpg;4,32%;76073
2525;Pauderney Avelino;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/pauderney-avelino-2525-min.jpg;4,10%;72358
5500;Luiz Fernando Nicolau;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/luiz-fernando-nicolau-5500-min.jpg;3,70%;65212
1414;Reizo Castelo Branco;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/reizo-castelo-branco-1414-min.jpg;2,54%;44789
3131;Marcel Alexandre;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/marcel-alexandre-3131-min.jpg;2,40%;42325
5588;Dodó Carvalho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/dodo-carvalho-5588-min.jpg;1,93%;34008
4343;Orlando Cidade;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/orlando-cidade-4343-min.jpg;1,17%;20569
1212;Delegado Wesley;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/delegado-wesley-1212-min.jpg;1,00%;17638
6514;Jaildo dos Rodoviários;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/jaildo-dos-rodoviarios-6514-min.jpg;0,89%;15621
1318;Sassá da Construção Civil;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/sassa-da-construcao-civil-1318-min.jpg;0,81%;14222
5505;Raidi Rebello;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/raidi-rebello-5505-min.jpg;0,38%;6669
1122;Alberto d'Almeida;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/alberto-dalmeida-1122-min.jpg;0,32%;5613
2292;Michelle Guimarães;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/michelle-guimaraes-2292-min.jpg;0,31%;5410
3636;Prof. Alessandro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/prof-alessandro-3636-min.jpg;0,30%;5346
6565;Yann Evanovick;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/yann-evanovick-6565-min.jpg;0,21%;3782
2233;Dra. Patricia Sicchar;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/dra-patricia-sicchar-2233-min.jpg;0,21%;3780
3600;Wallace Dantas;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/wallace-dantas-3600-min.jpg;0,20%;3565
2555;Sarah Furtado;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/sarah-furtado-2555-min.jpg;0,12%;2107
4321;George Reis;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/george-reis-4321-min.jpg;0,10%;1769
3147;Enfermeira Paulinha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/enfermeira-paulinha-3147-min.jpg;0,09%;1563
6530;Antonivaldo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/antonivaldo-6530-min.jpg;0,08%;1451
6533;Carlinhos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/carlinhos-6533-min.jpg;0,07%;1247
1307;Odimar Guimarães;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/odimar-guimaraes-1307-min.jpg;0,06%;1080
1233;Enfermeira Edilene Kokama;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amazonas/deputado-federal/enfermeira-edilene-kokama-1233-min.jpg;0,06%;1024
