number;name;img_url;porcentagem;votos
4040;Camilo Capiberibe;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/camilo-capiberibe-4040-min.jpg;6,85%;24987
9000;Acácio Favacho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/acacio-favacho-9000-min.jpg;5,24%;19111
2222;Vinícius;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/vinicius-2222-min.jpg;5,16%;18818
1000;Aline Gurgel;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/aline-gurgel-1000-min.jpg;4,53%;16519
6565;Professora Marcivania;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/professora-marcivania-6565-min.jpg;3,89%;14196
4545;Luiz Carlos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/luiz-carlos-4545-min.jpg;3,86%;14069
1111;Andre Abdon;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/andre-abdon-1111-min.jpg;3,52%;12856
7070;Leda Sadala;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/leda-sadala-7070-min.jpg;3,10%;11301
2211;Patricia Ferraz;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/patricia-ferraz-2211-min.jpg;3,55%;12950
1290;Profª Zilma;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/prof-zilma-1290-min.jpg;3,01%;10986
1234;Teles Jr;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/teles-jr-1234-min.jpg;2,74%;9998
4477;Pr Didio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/pr-didio-4477-min.jpg;2,45%;8933
1818;Lucas Abrahao;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/lucas-abrahao-1818-min.jpg;2,36%;8600
1512;Cabuçu Borges;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/cabucu-borges-1512-min.jpg;2,23%;8132
2080;Pedro da Lua;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/pedro-da-lua-2080-min.jpg;2,08%;7606
2233;Jorielson Federal;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/jorielson-federal-2233-min.jpg;1,87%;6828
5555;Alvarenga;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/alvarenga-5555-min.jpg;1,84%;6714
7066;Evandro Milhomen;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/evandro-milhomen-7066-min.jpg;1,77%;6452
1825;Eduardo Fleury;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/eduardo-fleury-1825-min.jpg;1,73%;6327
2525;Falcão O Cara do Porto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/falcao-o-cara-do-porto-2525-min.jpg;1,45%;5303
2598;Jurandil Juarez Ou Jurandil;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/jurandil-juarez-ou-jurandil-2598-min.jpg;1,34%;4891
1717;Joézer Chagas;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/joezer-chagas-1717-min.jpg;1,34%;4875
1210;Professor Rafael Pontes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/professor-rafael-pontes-1210-min.jpg;1,11%;4036
2500;Kassyo Ramos - Cassio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/kassyo-ramos-cassio-2500-min.jpg;1,10%;4008
7777;Odilson Nunes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/odilson-nunes-7777-min.jpg;1,09%;3987
1477;Paulo Campelo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/paulo-campelo-1477-min.jpg;1,05%;3830
5577;Marcos Reategui;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/marcos-reategui-5577-min.jpg;1,03%;3759
3678;Tiago Trator;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/tiago-trator-3678-min.jpg;0,97%;3539
1919;Jozi Araujo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/jozi-araujo-1919-min.jpg;0,97%;3532
3677;Pastor Mercurio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/pastor-mercurio-3677-min.jpg;0,93%;3387
1456;Dr. Achiles;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/dr-achiles-1456-min.jpg;0,93%;3386
1400;Jose Aranha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/jose-aranha-1400-min.jpg;0,92%;3344
1415;Pastor Marcos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/pastor-marcos-1415-min.jpg;0,83%;3038
2727;Darc Marques;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/darc-marques-2727-min.jpg;0,74%;2699
2255;Eraldo Trindade;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/eraldo-trindade-2255-min.jpg;0,73%;2679
3199;Cleudo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/cleudo-3199-min.jpg;0,68%;2468
2555;Coronel Palmira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/coronel-palmira-2555-min.jpg;0,66%;2425
1296;Rafael Cambraia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/rafael-cambraia-1296-min.jpg;0,64%;2338
4023;Professora Chermont;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/professora-chermont-4023-min.jpg;0,64%;2321
3131;Mário Brandão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/mario-brandao-3131-min.jpg;0,64%;2317
1236;Joelma;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/joelma-1236-min.jpg;0,60%;2189
2223;Belair Jr;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/belair-jr-2223-min.jpg;0,59%;2137
5444;Anne Marques;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/anne-marques-5444-min.jpg;0,58%;2131
4090;Coronel Ailton;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/coronel-ailton-4090-min.jpg;0,55%;1990
3111;Sargento Sandokan;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/sargento-sandokan-3111-min.jpg;0,54%;1953
3699;Mario Mendonça;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/mario-mendonca-3699-min.jpg;0,50%;1832
5498;Leite;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/leite-5498-min.jpg;0,48%;1746
7755;Leidinaldo Gama;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/leidinaldo-gama-7755-min.jpg;0,44%;1588
2025;Pastor Moises;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/pastor-moises-2025-min.jpg;0,43%;1572
1470;Dra. Karlene;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/dra-karlene-1470-min.jpg;0,38%;1382
2288;Marcelo Padilha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/marcelo-padilha-2288-min.jpg;0,33%;1215
1414;Eduardo Seabra;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/eduardo-seabra-1414-min.jpg;0,32%;1152
1800;Jane Selma;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/jane-selma-1800-min.jpg;0,31%;1120
1270;Antonio Zomba;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/antonio-zomba-1270-min.jpg;0,28%;1014
1823;Diego Silva do Park;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/diego-silva-do-park-1823-min.jpg;0,26%;947
7722;Alandy;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/alandy-7722-min.jpg;0,25%;903
9012;Nascimento Macho Velho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/nascimento-macho-velho-9012-min.jpg;0,24%;882
3147;Marceli;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/marceli-3147-min.jpg;0,23%;847
1877;Prof. Emanuel Rodrigues;https://cdn-eleicoes.gazetadopovo.com.br/fotos/amapa/deputado-federal/prof-emanuel-rodrigues-1877-min.jpg;0,23%;831
