number;name;img_url;porcentagem;votos
7000;Pastor Sargento Isidório;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/pastor-sargento-isidorio-7000-min.jpg;4,71%;323264
5588;Otto Alencar Filho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/otto-alencar-filho-5588-min.jpg;2,70%;185428
1919;Bacelar;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/bacelar-1919-min.jpg;2,17%;149274
1717;Prof. Dayane Pimentel;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/prof-dayane-pimentel-1717-min.jpg;1,99%;136742
1313;Jorge Solla;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/jorge-solla-1313-min.jpg;1,98%;135657
1301;Afonso Florence;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/afonso-florence-1301-min.jpg;1,90%;130548
1323;Zé Neto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/ze-neto-1323-min.jpg;1,88%;129196
5510;Antonio Brito;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/antonio-brito-5510-min.jpg;1,86%;127716
6522;Alice Portugal;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/alice-portugal-6522-min.jpg;1,84%;126595
1300;Caetano;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/caetano-1300-min.jpg;1,81%;124647
1322;Waldenor Pereira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/waldenor-pereira-1322-min.jpg;1,77%;121278
1310;Valmir Assunção;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/valmir-assuncao-1310-min.jpg;1,72%;118313
1144;Ronaldo Carletto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/ronaldo-carletto-1144-min.jpg;1,72%;118097
1312;Josias Gomes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/josias-gomes-1312-min.jpg;1,68%;115571
4000;Marcelo Nilo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/marcelo-nilo-4000-min.jpg;1,68%;115277
6565;Daniel Almeida;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/daniel-almeida-6565-min.jpg;1,66%;114213
1115;Cacá Leão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/caca-leao-1115-min.jpg;1,55%;106592
5580;Sérgio Brito;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/sergio-brito-5580-min.jpg;1,54%;105427
4040;Lídice da Mata;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/lidice-da-mata-4040-min.jpg;1,52%;104348
1122;Claudio Cajado;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/claudio-cajado-1122-min.jpg;1,52%;104322
2552;Elmar;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/elmar-2552-min.jpg;1,51%;103823
4545;Adolfo Viana;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/adolfo-viana-4545-min.jpg;1,49%;102603
1111;Mário Negromonte Jr;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/mario-negromonte-jr-1111-min.jpg;1,49%;102512
1346;Pelegrino;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/pelegrino-1346-min.jpg;1,48%;101476
5577;José Nunes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/jose-nunes-5577-min.jpg;1,45%;99535
1010;Marcio Marinho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/marcio-marinho-1010-min.jpg;1,39%;95204
1234;Felix Mendonça;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/felix-mendonca-1234-min.jpg;1,34%;91913
2512;Arthur Maia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/arthur-maia-2512-min.jpg;1,29%;88908
2288;João Bacelar;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/joao-bacelar-2288-min.jpg;1,23%;84684
1025;João Roma;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/joao-roma-1025-min.jpg;1,23%;84455
2526;Paulo Azi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/paulo-azi-2526-min.jpg;1,22%;84090
2222;Jose Rocha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/jose-rocha-2222-min.jpg;1,22%;84016
2525;Leur Lomanto Jr;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/leur-lomanto-jr-2525-min.jpg;1,20%;82110
5400;Uldúrico Júnior;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/uldurico-junior-5400-min.jpg;0,97%;66343
1223;Alex Santana;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-federal/alex-santana-1223-min.jpg;0,92%;62922
