number;name;img_url;porcentagem;votos
9090;Capitão Wagner;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/capitao-wagner-9090-min.jpg;6,61%;303593
4321;Celio Studart;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/celio-studart-4321-min.jpg;4,55%;208854
1313;Luizianne;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/luizianne-1313-min.jpg;3,78%;173777
1322;Guimaraes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/guimaraes-1322-min.jpg;3,77%;173039
1221;Mauro Filho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/mauro-filho-1221-min.jpg;3,43%;157510
1213;Idilvan;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/idilvan-1213-min.jpg;3,36%;154338
1111;Aj Albuquerque;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/aj-albuquerque-1111-min.jpg;2,88%;132319
1233;Robério Monteiro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/roberio-monteiro-1233-min.jpg;2,86%;131275
1515;Moses Rodrigues;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/moses-rodrigues-1515-min.jpg;2,80%;128526
1451;Pedro Bezerra;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/pedro-bezerra-1451-min.jpg;2,59%;119030
7777;Genecias Noronha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/genecias-noronha-7777-min.jpg;2,47%;113515
5555;Domingos Neto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/domingos-neto-5555-min.jpg;2,42%;111154
4000;Denis Bezerra;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/denis-bezerra-4000-min.jpg;2,31%;106294
1234;André Figueiredo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/andre-figueiredo-1234-min.jpg;2,25%;103385
4580;Roberto Pessoa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/roberto-pessoa-4580-min.jpg;2,23%;102470
1212;Leonidas Cristino;https://cdn-eleicoes.gazetadopovo.com.br/fotos/ceara/deputado-federal/leonidas-cristino-1212-min.jpg;2,23%;102417
