number;name;img_url;porcentagem;votos
2200;Flavia Arruda;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/flavia-arruda-2200-min.jpg;8,43%;121340
1331;Erika Kokay;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/erika-kokay-1331-min.jpg;6,25%;89986
4417;Bia Kicis;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/bia-kicis-4417-min.jpg;6,00%;86415
1010;Julio Cesar;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/julio-cesar-1010-min.jpg;5,54%;79775
4343;Professor Israel;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/professor-israel-4343-min.jpg;4,69%;67598
2555;Luis Miranda;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/luis-miranda-2555-min.jpg;4,52%;65107
2345;Paula Belmonte;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/paula-belmonte-2345-min.jpg;3,20%;46069
1122;Celina Leão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/celina-leao-1122-min.jpg;2,20%;31610
1919;Professor Pacco;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/professor-pacco-1919-min.jpg;2,73%;39300
5555;Renato Santana;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/renato-santana-5555-min.jpg;2,18%;31379
2222;Laerte Bessa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/laerte-bessa-2222-min.jpg;1,98%;28526
1515;Filippelli;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/filippelli-1515-min.jpg;1,94%;27917
7777;Augusto Carvalho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/augusto-carvalho-7777-min.jpg;1,71%;24634
4012;Maria Abadia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/maria-abadia-4012-min.jpg;1,71%;24575
1111;Olair;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/olair-1111-min.jpg;1,41%;20268
4040;Marcos Dantas;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/marcos-dantas-4040-min.jpg;1,29%;18504
1234;Léo Matos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/leo-matos-1234-min.jpg;1,13%;16292
1733;Comandante Aboud;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/comandante-aboud-1733-min.jpg;1,02%;14672
1777;Will Godoy;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/will-godoy-1777-min.jpg;0,97%;14012
1236;Professor Gadelha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/distrito-federal/deputado-federal/professor-gadelha-1236-min.jpg;0,92%;13198
