number;name;img_url;porcentagem;votos
1010;Amaro Neto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/amaro-neto-1010-min.jpg;9,41%;181813
4044;Felipe Rigoni;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/felipe-rigoni-4044-min.jpg;4,37%;84405
2323;da Vitoria;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/da-vitoria-2323-min.jpg;3,87%;74787
1350;Helder Salomão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/helder-salomao-1350-min.jpg;3,80%;73384
1212;Sergio Vidigal;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/sergio-vidigal-1212-min.jpg;3,78%;73030
1717;Dra. Soraya Manato;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/dra-soraya-manato-1717-min.jpg;2,99%;57741
2500;Norma Ayub;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/norma-ayub-2500-min.jpg;2,96%;57156
4040;Foletto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/foletto-4040-min.jpg;2,89%;55957
2222;Lauriete;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/lauriete-2222-min.jpg;2,69%;51983
1143;Evair de Melo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/evair-de-melo-1143-min.jpg;2,50%;48412
5555;Neucimar Fraga;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/neucimar-fraga-5555-min.jpg;2,78%;53787
1145;Marcus Vicente;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/marcus-vicente-1145-min.jpg;2,29%;44283
7777;Dr. Jorge Silva;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/dr-jorge-silva-7777-min.jpg;2,24%;43390
1000;Rodney Miranda;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/rodney-miranda-1000-min.jpg;2,22%;42829
2200;Gilsinho Lopes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/gilsinho-lopes-2200-min.jpg;2,21%;42644
4080;Ted Conti;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/ted-conti-4080-min.jpg;2,20%;42580
6565;Givaldo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/givaldo-6565-min.jpg;2,03%;39222
1313;João Coser;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/joao-coser-1313-min.jpg;1,96%;37836
1777;Marcos Guerra;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/marcos-guerra-1777-min.jpg;1,90%;36706
4567;César Colnago;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/cesar-colnago-4567-min.jpg;1,77%;34187
1111;Cabo Max;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/cabo-max-1111-min.jpg;1,54%;29786
7000;Carreta;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/carreta-7000-min.jpg;1,44%;27884
9090;Sandro Locutor;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/sandro-locutor-9090-min.jpg;1,44%;27840
2020;Reginaldo Almeida;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/reginaldo-almeida-2020-min.jpg;1,35%;26085
4000;Edmar Camata;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/edmar-camata-4000-min.jpg;1,26%;24283
1700;Doutor Pinheiro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/doutor-pinheiro-1700-min.jpg;1,19%;22915
4022;Nathan Medeiros;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/nathan-medeiros-4022-min.jpg;0,93%;17961
2333;Lenise;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/lenise-2333-min.jpg;0,91%;17616
3133;Coronel Foresti;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/coronel-foresti-3133-min.jpg;0,90%;17441
1140;Jonas Nogueira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/jonas-nogueira-1140-min.jpg;0,87%;16782
1778;Hans Dettmann Junior;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/hans-dettmann-junior-1778-min.jpg;0,76%;14635
1770;Adriana Bôas;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/adriana-boas-1770-min.jpg;0,58%;11152
4333;Fabiano Eller;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/fabiano-eller-4333-min.jpg;0,57%;10947
2345;Luiz Paulo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/luiz-paulo-2345-min.jpg;0,52%;10042
4011;Márcia Lamas;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/marcia-lamas-4011-min.jpg;0,51%;9781
3177;Ely Blunck;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/ely-blunck-3177-min.jpg;0,42%;8115
4026;Dedé di Jesus;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/dede-di-jesus-4026-min.jpg;0,39%;7546
1733;Rafael Monteiro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/rafael-monteiro-1733-min.jpg;0,39%;7499
5400;Vasco Alves (Vasquinho);https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/vasco-alves-vasquinho-5400-min.jpg;0,38%;7391
2300;Leonil;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/leonil-2300-min.jpg;0,32%;6254
1112;Fayda Belo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/fayda-belo-1112-min.jpg;0,29%;5544
4322;Dr. Bezerra;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/dr-bezerra-4322-min.jpg;0,25%;4782
4343;Coronel Marchezi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/coronel-marchezi-4343-min.jpg;0,24%;4643
4550;Dr. Izaias Junior;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/dr-izaias-junior-4550-min.jpg;0,20%;3943
1210;Doutor Beto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/doutor-beto-1210-min.jpg;0,19%;3724
4433;Charles da Auto Escola;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/charles-da-auto-escola-4433-min.jpg;0,19%;3656
4480;Nivaldo Caminhoneiro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/nivaldo-caminhoneiro-4480-min.jpg;0,17%;3226
1377;Zé Izidoro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/ze-izidoro-1377-min.jpg;0,16%;3073
2322;Maria Helena;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/maria-helena-2322-min.jpg;0,13%;2544
1319;Cacique Toninho Guarani;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/cacique-toninho-guarani-1319-min.jpg;0,12%;2327
1017;Dantas Ebenezer;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/dantas-ebenezer-1017-min.jpg;0,11%;2141
7007;Alexandre Cola;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/alexandre-cola-7007-min.jpg;0,11%;2095
4023;Dileuza;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/dileuza-4023-min.jpg;0,11%;2035
1077;Délio Parrini Iglesias;https://cdn-eleicoes.gazetadopovo.com.br/fotos/espirito-santo/deputado-federal/delio-parrini-iglesias-1077-min.jpg;0,10%;2001
