number;name;img_url;porcentagem;votos
1700;Delegado Waldir;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/delegado-waldir-1700-min.jpg;9,05%;274406
1212;Flavia Morais;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/flavia-morais-1212-min.jpg;5,60%;169774
2580;Dr. Zacarias Calil;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/dr-zacarias-calil-2580-min.jpg;5,00%;151508
5555;Francisco Jr;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/francisco-jr-5555-min.jpg;3,69%;111788
1010;João Campos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/joao-campos-1010-min.jpg;3,50%;106014
2018;Glaustin da Fokus;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/glaustin-da-fokus-2018-min.jpg;3,31%;100437
2555;Zé Mario;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/ze-mario-2555-min.jpg;3,17%;96188
2222;Magda Mofatto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/magda-mofatto-2222-min.jpg;2,93%;88894
1170;Professor Alcides;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/professor-alcides-1170-min.jpg;2,92%;88545
1313;Rubens Otoni;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/rubens-otoni-1313-min.jpg;2,74%;83063
7777;Lucas Vergílio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/lucas-vergilio-7777-min.jpg;2,59%;78431
1111;Adriano do Baldy;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/adriano-do-baldy-1111-min.jpg;2,56%;77729
4040;Elias Vaz;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/elias-vaz-4040-min.jpg;2,47%;74877
4599;Célio Silveira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/celio-silveira-4599-min.jpg;2,33%;70663
4444;Alcides Rodrigues;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/alcides-rodrigues-4444-min.jpg;2,14%;64941
1919;José  Nelto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/jose-nelto-1919-min.jpg;2,04%;61809
1701;Major Vitor Hugo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/major-vitor-hugo-1701-min.jpg;1,03%;31190
4500;Jean Carlo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/jean-carlo-4500-min.jpg;2,23%;67729
4578;Fábio Sousa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/fabio-sousa-4578-min.jpg;2,21%;67130
1414;Jovair Arantes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/jovair-arantes-1414-min.jpg;1,87%;56705
2345;Marcos Abrão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/marcos-abrao-2345-min.jpg;1,68%;50909
4545;Giuseppe Vecci;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/giuseppe-vecci-4545-min.jpg;1,64%;49766
1105;Balestra;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/balestra-1105-min.jpg;1,61%;48653
1515;Dona Iris;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/dona-iris-1515-min.jpg;1,32%;39976
9090;Dona Cida;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/dona-cida-9090-min.jpg;1,28%;38880
2510;Flavia Cunha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/flavia-cunha-2510-min.jpg;1,21%;36655
1920;Valeriano;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/valeriano-1920-min.jpg;1,11%;33554
1122;Sandes Junior;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/sandes-junior-1122-min.jpg;0,99%;29993
1444;Demóstenes Torres;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/demostenes-torres-1444-min.jpg;0,92%;27801
1518;Dante Volei;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/dante-volei-1518-min.jpg;0,87%;26507
4540;Coronel Alessandri;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/coronel-alessandri-4540-min.jpg;0,87%;26428
6565;Isaura Lemos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/isaura-lemos-6565-min.jpg;0,80%;24258
1504;João Reis de Araújo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/joao-reis-de-araujo-1504-min.jpg;0,72%;21715
1740;Sgt Denise Brasil;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/sgt-denise-brasil-1740-min.jpg;0,65%;19796
1512;Dr Marcos Vinícius;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/dr-marcos-vinicius-1512-min.jpg;0,62%;18682
1900;Wallace Landim Chorão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/wallace-landim-chorao-1900-min.jpg;0,47%;14171
1314;Professor  Zé do Carmo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/professor-ze-do-carmo-1314-min.jpg;0,42%;12668
2020;Wenner Patrick;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/wenner-patrick-2020-min.jpg;0,36%;10764
1511;Tchequinho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/tchequinho-1511-min.jpg;0,35%;10623
1400;Carlos Albino;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/carlos-albino-1400-min.jpg;0,28%;8519
2700;Kelly Afiune;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/kelly-afiune-2700-min.jpg;0,25%;7544
1500;Dra. Wdineia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/dra-wdineia-1500-min.jpg;0,20%;5958
2755;Sargento Leandro Moro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/sargento-leandro-moro-2755-min.jpg;0,14%;4184
1318;Professor Julio Anderson;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/professor-julio-anderson-1318-min.jpg;0,12%;3762
5500;Victor Lustosa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/victor-lustosa-5500-min.jpg;0,12%;3597
1234;Professor Moacir;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/professor-moacir-1234-min.jpg;0,11%;3386
1300;Arquidones Bites;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/arquidones-bites-1300-min.jpg;0,10%;3038
1324;Alanna Albernaz;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/alanna-albernaz-1324-min.jpg;0,10%;2974
1777;Dj Duda;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/dj-duda-1777-min.jpg;0,10%;2905
2512;Roseli da Saude;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/roseli-da-saude-2512-min.jpg;0,10%;2884
2525;Carlinhos da Feira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/carlinhos-da-feira-2525-min.jpg;0,09%;2836
1788;Dilvo Constantino;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/dilvo-constantino-1788-min.jpg;0,08%;2496
1717;Major Zamor;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/major-zamor-1717-min.jpg;0,08%;2436
1767;Davi Caminhoneiro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/davi-caminhoneiro-1767-min.jpg;0,07%;2233
1307;Isabel Cristine;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/isabel-cristine-1307-min.jpg;0,07%;2120
1560;Luciano da Ambulância;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/luciano-da-ambulancia-1560-min.jpg;0,07%;2072
4400;Itamar;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/itamar-4400-min.jpg;0,07%;1991
1570;Bene Costa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/bene-costa-1570-min.jpg;0,06%;1873
1344;Loiola;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/loiola-1344-min.jpg;0,06%;1769
1370;Professor Mirim;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/professor-mirim-1370-min.jpg;0,06%;1757
5510;Ludymilla Damatta;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/ludymilla-damatta-5510-min.jpg;0,05%;1445
2010;Patrick Medeiros;https://cdn-eleicoes.gazetadopovo.com.br/fotos/goias/deputado-federal/patrick-medeiros-2010-min.jpg;0,05%;1439
