number;name;img_url;porcentagem;votos
2222;Josimar Maranhãozinho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/maranhao/deputado-federal/josimar-maranhaozinho-2222-min.jpg;5,99%;195768
3333;Eduardo Braide;https://cdn-eleicoes.gazetadopovo.com.br/fotos/maranhao/deputado-federal/eduardo-braide-3333-min.jpg;5,80%;189843
6513;Márcio Jerry;https://cdn-eleicoes.gazetadopovo.com.br/fotos/maranhao/deputado-federal/marcio-jerry-6513-min.jpg;4,10%;134223
2200;Junior Lourenço;https://cdn-eleicoes.gazetadopovo.com.br/fotos/maranhao/deputado-federal/junior-lourenco-2200-min.jpg;3,58%;117033
6565;Rubens Junior;https://cdn-eleicoes.gazetadopovo.com.br/fotos/maranhao/deputado-federal/rubens-junior-6565-min.jpg;3,41%;111584
1414;Pedro Lucas Fernandes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/maranhao/deputado-federal/pedro-lucas-fernandes-1414-min.jpg;3,41%;111538
5533;Edilazio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/maranhao/deputado-federal/edilazio-5533-min.jpg;3,26%;106576
1919;Aluisio Mendes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/maranhao/deputado-federal/aluisio-mendes-1919-min.jpg;3,23%;105778
1111;Andre Fufuca;https://cdn-eleicoes.gazetadopovo.com.br/fotos/maranhao/deputado-federal/andre-fufuca-1111-min.jpg;3,23%;105583
1010;Cleber Verde;https://cdn-eleicoes.gazetadopovo.com.br/fotos/maranhao/deputado-federal/cleber-verde-1010-min.jpg;3,11%;101806
4000;Bira do Pindaré;https://cdn-eleicoes.gazetadopovo.com.br/fotos/maranhao/deputado-federal/bira-do-pindare-4000-min.jpg;3,05%;99598
2510;Juscelino Filho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/maranhao/deputado-federal/juscelino-filho-2510-min.jpg;2,97%;97075
5122;Junior Marreca Filho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/maranhao/deputado-federal/junior-marreca-filho-5122-min.jpg;2,44%;79674
1513;Hildo Rocha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/maranhao/deputado-federal/hildo-rocha-1513-min.jpg;2,37%;77661
1313;Ze Carlos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/maranhao/deputado-federal/ze-carlos-1313-min.jpg;2,35%;76893
