number;name;img_url;porcentagem;votos
1717;Marcelo Alvaro Antonio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/marcelo-alvaro-antonio-1717-min.jpg;2,28%;230008
1312;Reginaldo Lopes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/reginaldo-lopes-1312-min.jpg;1,93%;194332
7040;Andre Janones;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/andre-janones-7040-min.jpg;1,77%;178660
1378;Paulo Guedes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/paulo-guedes-1378-min.jpg;1,75%;176841
5018;Aurea Carolina;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/aurea-carolina-5018-min.jpg;1,61%;162740
1010;Gilberto Abramo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/gilberto-abramo-1010-min.jpg;1,61%;162092
1720;Cabo Junio Amaral;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/cabo-junio-amaral-1720-min.jpg;1,57%;158541
9033;Eros Biondini;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/eros-biondini-9033-min.jpg;1,56%;157394
1313;Rogério Correia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/rogerio-correia-1313-min.jpg;1,30%;131312
1315;Padre João;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/padre-joao-1315-min.jpg;1,30%;131228
4550;Rodrigo de Castro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/rodrigo-de-castro-4550-min.jpg;1,30%;131120
9090;Weliton Prado;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/weliton-prado-9090-min.jpg;1,28%;129199
5505;Misael Varella;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/misael-varella-5505-min.jpg;1,28%;128537
1515;Hercílio Coelho Diniz;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/hercilio-coelho-diniz-1515-min.jpg;1,20%;120489
5544;Stefano Aguiar;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/stefano-aguiar-5544-min.jpg;1,15%;115795
1333;Patrus Ananias;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/patrus-ananias-1333-min.jpg;1,12%;112724
7777;Zé Silva;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/ze-silva-7777-min.jpg;1,08%;109335
3133;Marcelo Aro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/marcelo-aro-3133-min.jpg;1,06%;107219
4500;Aécio Neves;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/aecio-neves-4500-min.jpg;1,06%;106702
4535;Eduardo Barbosa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/eduardo-barbosa-4535-min.jpg;1,05%;105969
5555;Diego Andrade;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/diego-andrade-5555-min.jpg;1,05%;105803
2233;Lincoln Portela;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/lincoln-portela-2233-min.jpg;1,05%;105731
4055;Emidinho Madeira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/emidinho-madeira-4055-min.jpg;1,03%;103533
1080;Lafayette Andrada;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/lafayette-andrada-1080-min.jpg;1,02%;103090
1122;Pinheirinho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/pinheirinho-1122-min.jpg;0,98%;98404
1231;Subtenente Gonzaga;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/subtenente-gonzaga-1231-min.jpg;0,93%;93932
1314;Margarida Salomão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/margarida-salomao-1314-min.jpg;0,89%;89378
1234;Dr. Mário Heringer;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/dr-mario-heringer-1234-min.jpg;0,88%;89046
1307;Odair Cunha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/odair-cunha-1307-min.jpg;0,87%;87891
2545;Bilac Pinto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/bilac-pinto-2545-min.jpg;0,87%;87683
5133;Fred Costa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/fred-costa-5133-min.jpg;0,87%;87446
4560;Domingos Sávio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/domingos-savio-4560-min.jpg;0,80%;80990
4545;Paulo Abi Ackel;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/paulo-abi-ackel-4545-min.jpg;0,79%;79797
1111;Dimas Fabiano;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/dimas-fabiano-1111-min.jpg;0,74%;74223
3031;Tiago Mitraud;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/tiago-mitraud-3031-min.jpg;0,71%;71901
4057;Vilson da Fetaemg;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/vilson-da-fetaemg-4057-min.jpg;0,70%;70481
1510;Newton Cardoso Jr;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/newton-cardoso-jr-1510-min.jpg;0,69%;69900
1363;Leonardo Monteiro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/leonardo-monteiro-1363-min.jpg;0,68%;68686
2015;Euclydes Pettersen;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/euclydes-pettersen-2015-min.jpg;0,65%;65316
3022;Lucas Gonzalez;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/lucas-gonzalez-3022-min.jpg;0,64%;64022
1513;Fabio Ramalho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/fabio-ramalho-1513-min.jpg;0,63%;63149
5152;Doutor Frederico;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/doutor-frederico-5152-min.jpg;0,60%;60950
1999;Igor Timo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/igor-timo-1999-min.jpg;0,60%;60509
4050;Julio Delgado;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/julio-delgado-4050-min.jpg;0,58%;58413
1511;Mauro Lopes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/mauro-lopes-1511-min.jpg;0,58%;58243
1777;Delegado Marcelo Freitas;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/delegado-marcelo-freitas-1777-min.jpg;0,58%;58176
3132;Franco Cartafina;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/franco-cartafina-3132-min.jpg;0,53%;53390
1745;Charlles Evangelista;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/charlles-evangelista-1745-min.jpg;0,51%;51626
1707;Léo Motta;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/leo-motta-1707-min.jpg;0,51%;51073
7070;Luis Tibe;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/luis-tibe-7070-min.jpg;0,50%;50474
1704;Alê Silva;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/ale-silva-1704-min.jpg;0,48%;48043
7011;Greyce Elias;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/greyce-elias-7011-min.jpg;0,37%;37620
3333;Zé Vitor;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/ze-vitor-3333-min.jpg;0,33%;32833
4555;Marcus Pestana;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/marcus-pestana-4555-min.jpg;0,72%;72099
2300;Fabiano Tolentino;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/fabiano-tolentino-2300-min.jpg;0,66%;67008
4566;Carlos Mosconi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/carlos-mosconi-4566-min.jpg;0,65%;65362
1199;Ana Paula;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/ana-paula-1199-min.jpg;0,62%;62815
1100;Renato Andrade;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/renato-andrade-1100-min.jpg;0,62%;62448
2500;Álvaro Damião da Itatiaia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/alvaro-damiao-da-itatiaia-2500-min.jpg;0,59%;59351
1990;Bruce Martins;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/bruce-martins-1990-min.jpg;0,58%;58634
1500;Leonardo Quintão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/leonardo-quintao-1500-min.jpg;0,56%;56644
2555;Carlos Melles;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/carlos-melles-2555-min.jpg;0,55%;55604
2222;Aelton Freitas;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/aelton-freitas-2222-min.jpg;0,54%;54704
2234;Walter Tosta;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/walter-tosta-2234-min.jpg;0,51%;51606
2210;Tenente Lúcio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/tenente-lucio-2210-min.jpg;0,51%;51555
5510;Raquel Muniz;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/raquel-muniz-5510-min.jpg;0,45%;45338
1350;Adelmo Leão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/adelmo-leao-1350-min.jpg;0,45%;45076
5151;Duilio de Castro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/duilio-de-castro-5151-min.jpg;0,44%;44556
1531;Ademir Camilo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/ademir-camilo-1531-min.jpg;0,44%;43926
6565;Wadson Ribeiro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/wadson-ribeiro-6565-min.jpg;0,43%;43500
1310;Gilmar Machado;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/gilmar-machado-1310-min.jpg;0,43%;42923
4321;Pedro Leitão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/pedro-leitao-4321-min.jpg;0,42%;42488
2280;José Santana;https://cdn-eleicoes.gazetadopovo.com.br/fotos/minas-gerais/deputado-federal/jose-santana-2280-min.jpg;0,42%;42008
