number;name;img_url;porcentagem;votos
4555;Rose Modesto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/rose-modesto-4555-min.jpg;9,75%;120901
5555;Fabio Trad;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/fabio-trad-5555-min.jpg;7,21%;89385
4545;Beto Pereira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/beto-pereira-4545-min.jpg;6,49%;80500
2525;Tereza Cristina;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/tereza-cristina-2525-min.jpg;6,05%;75068
1733;Tio Trutis;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/tio-trutis-1733-min.jpg;4,54%;56339
1331;Vander Loubet;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/vander-loubet-1331-min.jpg;4,51%;55970
1707;Dr. Luiz Ovando;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/dr-luiz-ovando-1707-min.jpg;4,06%;50376
1234;Dagoberto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/dagoberto-1234-min.jpg;3,24%;40233
4567;Geraldo Resende;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/geraldo-resende-4567-min.jpg;4,97%;61675
4077;Elizeu Dionizio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/elizeu-dionizio-4077-min.jpg;2,99%;37073
1010;Wilton Acosta;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/wilton-acosta-1010-min.jpg;2,75%;34062
1722;Zé da Viola;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/ze-da-viola-1722-min.jpg;1,85%;22895
1717;Sindoley Morais;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/sindoley-morais-1717-min.jpg;1,60%;19819
1200;Odilon de Oliveira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/odilon-de-oliveira-1200-min.jpg;1,55%;19198
4500;Bia Cavassa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/bia-cavassa-4500-min.jpg;1,44%;17834
1325;Professor Jaime;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/professor-jaime-1325-min.jpg;1,28%;15820
5501;Renee Venancio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/renee-venancio-5501-min.jpg;1,13%;14056
9090;Fabrício Venturoli;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/fabricio-venturoli-9090-min.jpg;1,11%;13810
1377;Gleice Jane;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/gleice-jane-1377-min.jpg;1,05%;12997
2522;Alan Guedes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso-do-sul/deputado-federal/alan-guedes-2522-min.jpg;0,90%;11145
