number;name;img_url;porcentagem;votos
1700;Nelson Barbudo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/nelson-barbudo-1700-min.jpg;8,52%;126249
1900;Jose Medeiros;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/jose-medeiros-1900-min.jpg;5,57%;82528
1414;Emanuelzinho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/emanuelzinho-1414-min.jpg;5,18%;76781
1122;Neri Geller;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/neri-geller-1122-min.jpg;4,93%;73072
1515;Carlos Bezerra;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/carlos-bezerra-1515-min.jpg;3,99%;59155
7700;Dr Leonardo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/dr-leonardo-7700-min.jpg;3,53%;52335
1313;Professora Rosa Neide;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/professora-rosa-neide-1313-min.jpg;3,44%;51015
1520;Juarez Costa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/juarez-costa-1520-min.jpg;3,37%;49912
1717;Victório Galli;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/victorio-galli-1717-min.jpg;3,57%;52947
9011;Gisela Simona;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/gisela-simona-9011-min.jpg;3,42%;50682
1500;Valtenir Pereira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/valtenir-pereira-1500-min.jpg;2,98%;44135
5555;Gaspar;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/gaspar-5555-min.jpg;2,73%;40470
2525;Adriano Silva;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/adriano-silva-2525-min.jpg;2,70%;40005
1010;Serys Slhessarenko;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/serys-slhessarenko-1010-min.jpg;2,26%;33546
9017;Policialfederal Rafael Ranalli;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/policialfederal-rafael-ranalli-9017-min.jpg;2,26%;33523
1111;Ezequiel Fonseca;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/ezequiel-fonseca-1111-min.jpg;2,19%;32410
4522;Vander Masson;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/vander-masson-4522-min.jpg;1,83%;27044
2323;Marrafon;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/marrafon-2323-min.jpg;1,82%;27022
4010;Marildes Ferreira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/marildes-ferreira-4010-min.jpg;1,74%;25730
1310;Edna Sampaio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/mato-grosso/deputado-federal/edna-sampaio-1310-min.jpg;1,60%;23665
