number;name;img_url;porcentagem;votos
5050;Edmilson Rodrigues;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/edmilson-rodrigues-5050-min.jpg;4,65%;184042
2222;Cristiano Vale;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/cristiano-vale-2222-min.jpg;4,47%;176812
1515;Elcione;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/elcione-1515-min.jpg;4,18%;165202
1010;Vavá Martins;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/vava-martins-1010-min.jpg;4,01%;158717
1555;Priante;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/priante-1555-min.jpg;3,91%;154647
4590;Nilson Pinto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/nilson-pinto-4590-min.jpg;3,77%;148972
5588;Júnior Ferrari;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/junior-ferrari-5588-min.jpg;3,71%;146678
4567;Celso Sabino;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/celso-sabino-4567-min.jpg;3,70%;146288
5500;Delegado Éder Mauro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/delegado-eder-mauro-5500-min.jpg;3,68%;145653
1313;Beto Faro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/beto-faro-1313-min.jpg;3,64%;143822
2500;Olival Marques;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/olival-marques-2500-min.jpg;3,42%;135398
4011;Cássio Andrade;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/cassio-andrade-4011-min.jpg;3,31%;130768
1321;Airton Faleiro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/airton-faleiro-1321-min.jpg;2,70%;106965
2525;Hélio Leite;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/helio-leite-2525-min.jpg;2,59%;102554
1456;Paulo Bengtson;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/paulo-bengtson-1456-min.jpg;2,44%;96722
5555;Joaquim Passarinho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/joaquim-passarinho-5555-min.jpg;2,42%;95582
1444;Eduardo Costa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/eduardo-costa-1444-min.jpg;1,90%;75346
2323;Jordy;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/jordy-2323-min.jpg;2,09%;82672
2020;Julia Marinho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/julia-marinho-2020-min.jpg;1,90%;75334
1977;Chapadinha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/chapadinha-1977-min.jpg;1,76%;69510
1111;Beto Salame;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/beto-salame-1111-min.jpg;1,64%;64928
1522;Henderson Pinto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/para/deputado-federal/henderson-pinto-1522-min.jpg;1,61%;63533
