number;name;img_url;porcentagem;votos
4040;Gervásio Maia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/gervasio-maia-4040-min.jpg;7,38%;146860
1111;Aguinaldo Ribeiro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/aguinaldo-ribeiro-1111-min.jpg;6,04%;120220
2222;Wellington Roberto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/wellington-roberto-2222-min.jpg;5,40%;107465
1212;Dr Damião;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/dr-damiao-1212-min.jpg;5,07%;100876
1011;Hugo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/hugo-1011-min.jpg;4,65%;92468
1345;Frei Anastacio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/frei-anastacio-1345-min.jpg;4,59%;91408
1411;Wilson Santiago;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/wilson-santiago-1411-min.jpg;4,33%;86208
4510;Pedro Cunha Lima;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/pedro-cunha-lima-4510-min.jpg;3,86%;76754
2511;Efraim Filho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/efraim-filho-2511-min.jpg;3,82%;76089
1717;Julian Lemos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/julian-lemos-1717-min.jpg;3,61%;71899
4500;Edna Henrique;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/edna-henrique-4500-min.jpg;3,52%;69935
4567;Ruy Carneiro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/ruy-carneiro-4567-min.jpg;3,08%;61259
2020;Leonardo Gadelha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/leonardo-gadelha-2020-min.jpg;3,06%;60782
1900;Ana Cláudia Vital;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/ana-claudia-vital-1900-min.jpg;2,48%;49248
1515;Benjamin Maranhão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/benjamin-maranhao-1515-min.jpg;2,29%;45599
1100;Eliza;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/eliza-1100-min.jpg;2,23%;44370
7777;Bruno Cunha Lima;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/bruno-cunha-lima-7777-min.jpg;2,22%;44143
2000;Manoel Júnior;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/manoel-junior-2000-min.jpg;1,52%;30311
1010;Bispo José Luiz;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/bispo-jose-luiz-1010-min.jpg;1,38%;27374
1722;Capitao Antonio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/capitao-antonio-1722-min.jpg;1,33%;26547
4000;Sandra Marrocos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/sandra-marrocos-4000-min.jpg;1,15%;22854
4569;Rafafá;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/rafafa-4569-min.jpg;0,70%;13940
4511;Patrick Dorneles;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/patrick-dorneles-4511-min.jpg;0,69%;13809
1300;Marcos Henriques;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/marcos-henriques-1300-min.jpg;0,67%;13417
1510;Tatiana Medeiros;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/tatiana-medeiros-1510-min.jpg;0,58%;11637
1177;Dr Hilton Souto Maior;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/dr-hilton-souto-maior-1177-min.jpg;0,56%;11197
1707;Pâmela Bório;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/pamela-borio-1707-min.jpg;0,56%;11120
4334;Amorim;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/amorim-4334-min.jpg;0,52%;10260
1727;Genilson Lucena;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/genilson-lucena-1727-min.jpg;0,51%;10062
1101;Helena Holanda;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/helena-holanda-1101-min.jpg;0,49%;9661
1133;Eitel Santiago Pereira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/eitel-santiago-pereira-1133-min.jpg;0,48%;9546
5444;Pastor Luciano Breno;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/pastor-luciano-breno-5444-min.jpg;0,43%;8527
6565;Gregória Benário;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/gregoria-benario-6565-min.jpg;0,40%;7945
1940;Anderson Almeida;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/anderson-almeida-1940-min.jpg;0,37%;7434
1770;Cabo Rui;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/cabo-rui-1770-min.jpg;0,34%;6732
1777;Morgana Macena;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/morgana-macena-1777-min.jpg;0,31%;6128
1313;Moza;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/moza-1313-min.jpg;0,30%;5900
1790;Coronel Iris;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/coronel-iris-1790-min.jpg;0,25%;5032
5566;Pimentel Filho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/pimentel-filho-5566-min.jpg;0,25%;4890
1122;Guilherme Almeida;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/guilherme-almeida-1122-min.jpg;0,24%;4832
1110;Major Fabio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/paraiba/deputado-federal/major-fabio-1110-min.jpg;0,22%;4429
