number;name;img_url;porcentagem;votos
4040;João Campos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/joao-campos-4040-min.jpg;10,63%;460387
1310;Marília Arraes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/marilia-arraes-1310-min.jpg;4,46%;193108
2020;Andre Ferreira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/andre-ferreira-2020-min.jpg;4,06%;175834
2233;Sebastião Oliveira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/sebastiao-oliveira-2233-min.jpg;3,00%;129978
5151;Pastor Eurico;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/pastor-eurico-5151-min.jpg;2,89%;125025
5555;Andre de Paula;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/andre-de-paula-5555-min.jpg;2,74%;118641
1717;Luciano Bivar;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/luciano-bivar-1717-min.jpg;2,72%;117943
4004;Felipe Carreras;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/felipe-carreras-4004-min.jpg;2,64%;114268
1111;Eduardo da Fonte;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/eduardo-da-fonte-1111-min.jpg;2,62%;113640
1010;Silvio Costa Filho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/silvio-costa-filho-1010-min.jpg;2,52%;109185
2323;Daniel Coelho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/daniel-coelho-2323-min.jpg;2,26%;97745
2501;Fernando Filho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/fernando-filho-2501-min.jpg;2,13%;92188
4010;Danilo Cabral;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/danilo-cabral-4010-min.jpg;2,12%;91635
1515;Raul Henry;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/raul-henry-1515-min.jpg;2,02%;87585
1234;Wolney Queiroz;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/wolney-queiroz-1234-min.jpg;1,91%;82592
1190;Fernando Monteiro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/fernando-monteiro-1190-min.jpg;1,90%;82071
4000;Gonzaga Patriota;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/gonzaga-patriota-4000-min.jpg;1,86%;80498
7777;Augusto Coutinho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/augusto-coutinho-7777-min.jpg;1,80%;77817
1212;Túlio Gadêlha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/tulio-gadelha-1212-min.jpg;1,75%;75642
1919;Ricardo Teobaldo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/ricardo-teobaldo-1919-min.jpg;1,70%;73551
1314;Carlos Veras;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/carlos-veras-1314-min.jpg;1,66%;72005
1012;Bispo Ossesio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/bispo-ossesio-1012-min.jpg;1,52%;65939
6513;Renildo Calheiros;https://cdn-eleicoes.gazetadopovo.com.br/fotos/pernambuco/deputado-federal/renildo-calheiros-6513-min.jpg;1,34%;57919
