number;name;img_url;porcentagem;votos
1311;Rejane Dias;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/rejane-dias-1311-min.jpg;7,76%;138800
2222;Capitão Fábio Abreu;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/capitao-fabio-abreu-2222-min.jpg;7,42%;132719
1313;Assis Carvalho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/assis-carvalho-1313-min.jpg;7,25%;129623
1212;Flavio Nogueira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/flavio-nogueira-1212-min.jpg;6,25%;111672
5555;Júlio Cesar;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/julio-cesar-5555-min.jpg;6,20%;110804
1111;Iracema Portella;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/iracema-portella-1111-min.jpg;5,39%;96277
1122;Margarete Coelho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/margarete-coelho-1122-min.jpg;4,27%;76338
1515;Marcos Aurelio Sampaio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/marcos-aurelio-sampaio-1515-min.jpg;4,10%;73302
3636;Dra. Marina;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/dra-marina-3636-min.jpg;3,96%;70828
4040;Átila Lira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/atila-lira-4040-min.jpg;3,03%;54095
1333;Merlong Solano;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/merlong-solano-1333-min.jpg;4,02%;71840
1410;Paes Landim;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/paes-landim-1410-min.jpg;3,70%;66072
1144;Mainha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/mainha-1144-min.jpg;3,42%;61132
1000;Silas Freire;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/silas-freire-1000-min.jpg;3,21%;57391
2525;Heráclito Fortes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/heraclito-fortes-2525-min.jpg;2,60%;46531
7777;Major Elizete;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/major-elizete-7777-min.jpg;1,45%;25877
4010;Juliana Moraes Souza;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/juliana-moraes-souza-4010-min.jpg;0,95%;16996
1580;Ismar Marques;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/ismar-marques-1580-min.jpg;0,72%;12835
1322;Antonio Jose Medeiros;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/antonio-jose-medeiros-1322-min.jpg;0,62%;11035
6565;Isadora;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/isadora-6565-min.jpg;0,54%;9689
1377;Fabiola Lemos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/piaui/deputado-federal/fabiola-lemos-1377-min.jpg;0,45%;7964
