number;name;img_url;porcentagem;votos
5590;Sargento Fahur;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/sargento-fahur-5590-min.jpg;5,49%;314963
1777;Felipe Francischini;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/felipe-francischini-1777-min.jpg;4,21%;241537
1313;Gleisi Lula;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/gleisi-lula-1313-min.jpg;3,71%;212513
1080;Luizão Goulart;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/luizao-goulart-1080-min.jpg;2,47%;141730
5555;Sandro Alex;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/sandro-alex-5555-min.jpg;2,17%;124512
4300;Leandre;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/leandre-4300-min.jpg;2,16%;123958
2020;Paulo Martins;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/paulo-martins-2020-min.jpg;2,07%;118754
1234;Gustavo Fruet;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/gustavo-fruet-1234-min.jpg;1,98%;113252
2200;Giacobo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/giacobo-2200-min.jpg;1,94%;111384
1540;Hermes Frangão Parcianello;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/hermes-frangao-parcianello-1540-min.jpg;1,93%;110717
2233;Christiane Yared;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/christiane-yared-2233-min.jpg;1,88%;107636
1919;Diego Garcia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/diego-garcia-1919-min.jpg;1,80%;103154
4040;Luciano Ducci;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/luciano-ducci-4040-min.jpg;1,71%;98214
4012;Aliel Machado;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/aliel-machado-4012-min.jpg;1,66%;95386
1512;Sérgio Souza;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/sergio-souza-1512-min.jpg;1,64%;94077
5569;Ney Leprevost;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/ney-leprevost-5569-min.jpg;1,61%;92399
2505;Pedro Lupion;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/pedro-lupion-2505-min.jpg;1,61%;92300
1414;Luisa Canziani;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/luisa-canziani-1414-min.jpg;1,57%;90249
9000;Boca Aberta;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/boca-aberta-9000-min.jpg;1,57%;90158
1151;Ricardo Barros;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/ricardo-barros-1151-min.jpg;1,40%;80025
1310;Zeca Dirceu;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/zeca-dirceu-1310-min.jpg;1,35%;77306
2300;Rubens Bueno;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/rubens-bueno-2300-min.jpg;1,33%;76471
1122;Schiavinato;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/schiavinato-1122-min.jpg;1,32%;75540
1700;Filipe Barros;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/filipe-barros-1700-min.jpg;1,31%;75326
2222;Luiz Nishimori;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/luiz-nishimori-2222-min.jpg;1,28%;73344
9090;Toninho Wandscheer;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/toninho-wandscheer-9090-min.jpg;1,26%;72475
5577;Vermelho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/vermelho-5577-min.jpg;1,22%;70001
1330;Enio Verri;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/enio-verri-1330-min.jpg;1,08%;62169
1010;Aroldo Martins;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/aroldo-martins-1010-min.jpg;0,92%;52572
1717;Aline Sleutjes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/aline-sleutjes-1717-min.jpg;0,59%;33628
4545;Rossoni;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/rossoni-4545-min.jpg;1,26%;72096
5533;Evandro Roman;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/evandro-roman-5533-min.jpg;1,18%;67909
7777;Marcio Pauliki;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/marcio-pauliki-7777-min.jpg;1,17%;67125
1111;Osmar Serraglio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/osmar-serraglio-1111-min.jpg;1,13%;64572
1155;Marco Brasil;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/marco-brasil-1155-min.jpg;1,09%;62584
5515;Stephanes Junior;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/stephanes-junior-5515-min.jpg;0,93%;53522
2018;Takayama;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/takayama-2018-min.jpg;0,93%;53466
4070;Leopoldo Meyer;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/leopoldo-meyer-4070-min.jpg;0,90%;51869
1040;Irineu Rodrigues;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/irineu-rodrigues-1040-min.jpg;0,88%;50255
4512;Felipe Passos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/felipe-passos-4512-min.jpg;0,87%;49661
5523;Edmar Arruda;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/edmar-arruda-5523-min.jpg;0,86%;49577
1215;Assis do Couto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/assis-do-couto-1215-min.jpg;0,75%;42838
5502;Rogerio Lorenzetti;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/rogerio-lorenzetti-5502-min.jpg;0,70%;40290
2525;Osmar Bertoldi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/osmar-bertoldi-2525-min.jpg;0,68%;38727
4515;Hauly;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/hauly-4515-min.jpg;0,61%;35133
3333;Rossi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/rossi-3333-min.jpg;0,60%;34206
1166;Alfredo Kaefer;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/alfredo-kaefer-1166-min.jpg;0,58%;33459
4346;Cezar Lima do Big Brother;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/cezar-lima-do-big-brother-4346-min.jpg;0,54%;31102
7070;Marisa Lobo Psicologa Cristã;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/marisa-lobo-psicologa-crista-7070-min.jpg;0,51%;29032
5588;Jose Maria Ferreira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/jose-maria-ferreira-5588-min.jpg;0,48%;27716
4599;Mounir Chaowiche;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/mounir-chaowiche-4599-min.jpg;0,44%;25397
4019;Rafael Dantas;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/rafael-dantas-4019-min.jpg;0,42%;24079
1999;Valter Orsi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/valter-orsi-1999-min.jpg;0,40%;22913
1780;Coronel Figueiredo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/coronel-figueiredo-1780-min.jpg;0,40%;22878
4343;Roberto Aciolli;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/roberto-aciolli-4343-min.jpg;0,35%;20226
4312;Professor Mocellin;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/professor-mocellin-4312-min.jpg;0,35%;20088
3131;Jura;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/jura-3131-min.jpg;0,35%;19803
4050;Professor Marcos Vinicius;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/professor-marcos-vinicius-4050-min.jpg;0,34%;19706
1363;Professora Josete;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/professora-josete-1363-min.jpg;0,33%;19018
3100;Joao Alexandre;https://cdn-eleicoes.gazetadopovo.com.br/fotos/parana/deputado-federal/joao-alexandre-3100-min.jpg;0,33%;18905
