number;name;img_url;porcentagem;votos
1720;Helio Fernando Barbosa Lopes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/helio-fernando-barbosa-lopes-1720-min.jpg;4,47%;345234
5050;Marcelo Freixo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/marcelo-freixo-5050-min.jpg;4,44%;342491
4040;Alessandro Molon;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/alessandro-molon-4040-min.jpg;2,95%;227914
1777;Carlos Jordy;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/carlos-jordy-1777-min.jpg;2,64%;204048
5593;Flordelis;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/flordelis-5593-min.jpg;2,55%;196959
1545;Daniela do Waguinho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/daniela-do-waguinho-1545-min.jpg;1,77%;136286
2050;Otoni de Paula;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/otoni-de-paula-2050-min.jpg;1,56%;120498
1717;Luiz Lima;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/luiz-lima-1717-min.jpg;1,49%;115119
5077;Talíria Petrone;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/taliria-petrone-5077-min.jpg;1,39%;107317
1793;Delegado Antônio Furtado;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/delegado-antonio-furtado-1793-min.jpg;1,35%;104211
1177;Dr. Luizinho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/dr-luizinho-1177-min.jpg;1,34%;103745
2577;Sóstenes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/sostenes-2577-min.jpg;1,22%;94203
2587;Rodrigo Maia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/rodrigo-maia-2587-min.jpg;0,96%;74232
6565;Jandira Feghali;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/jandira-feghali-6565-min.jpg;0,93%;71646
7733;Aureo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/aureo-7733-min.jpg;0,89%;68414
1010;Wagner Montes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/wagner-montes-1010-min.jpg;0,85%;65868
1033;Rosangela Gomes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/rosangela-gomes-1033-min.jpg;0,83%;63952
5510;Hugo Leal;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/hugo-leal-5510-min.jpg;0,82%;63561
1798;Sargento Gurgel;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/sargento-gurgel-1798-min.jpg;0,80%;62089
1515;Vinícius Farah;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/vinicius-farah-1515-min.jpg;0,75%;57707
1746;Major Fabiana;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/major-fabiana-1746-min.jpg;0,75%;57611
2501;Pedro Paulo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/pedro-paulo-2501-min.jpg;0,73%;56646
2269;Altineu Cortes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/altineu-cortes-2269-min.jpg;0,72%;55367
1516;Gutemberg Reis;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/gutemberg-reis-1516-min.jpg;0,71%;54573
3030;Paulo Ganime;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/paulo-ganime-3030-min.jpg;0,69%;52983
2323;Marcelo Calero;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/marcelo-calero-2323-min.jpg;0,65%;50533
2727;Luiz Antônio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/luiz-antonio-2727-min.jpg;0,65%;50284
2222;Soraya Santos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/soraya-santos-2222-min.jpg;0,63%;48328
1155;Christino Aureo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/christino-aureo-1155-min.jpg;0,61%;47101
1767;Felício Laterça;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/felicio-laterca-1767-min.jpg;0,61%;47065
1752;Márcio Labre;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-de-janeiro/deputado-federal/marcio-labre-1752-min.jpg;0,61%;46934
