number;name;img_url;porcentagem;votos
3666;Benes Leocadio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-norte/deputado-federal/benes-leocadio-3666-min.jpg;7,82%;125841
1311;Natalia Bonavides;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-norte/deputado-federal/natalia-bonavides-1311-min.jpg;7,02%;112998
1333;Mineiro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-norte/deputado-federal/mineiro-1333-min.jpg;6,09%;98070
2222;João Maia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-norte/deputado-federal/joao-maia-2222-min.jpg;5,81%;93505
4040;Rafael Motta;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-norte/deputado-federal/rafael-motta-4040-min.jpg;5,14%;82791
1777;General Girao;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-norte/deputado-federal/general-girao-1777-min.jpg;5,07%;81640
1511;Walter Alves;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-norte/deputado-federal/walter-alves-1511-min.jpg;4,93%;79333
5555;Fábio Faria;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-norte/deputado-federal/fabio-faria-5555-min.jpg;4,37%;70350
1111;Beto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-norte/deputado-federal/beto-1111-min.jpg;4,42%;71092
2512;José Agripino;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-norte/deputado-federal/jose-agripino-2512-min.jpg;4,02%;64678
9011;Carla Dickson Oftalmologista;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-norte/deputado-federal/carla-dickson-oftalmologista-9011-min.jpg;3,76%;60590
4545;Rogerio Marinho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-norte/deputado-federal/rogerio-marinho-4545-min.jpg;3,72%;59961
7070;Karla Veruska;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-norte/deputado-federal/karla-veruska-7070-min.jpg;2,66%;42784
