number;name;img_url;porcentagem;votos
1919;Léo Moraes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/leo-moraes-1919-min.jpg;8,88%;69565
5555;Expedito Netto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/expedito-netto-5555-min.jpg;5,10%;39953
4545;Mariana Carvalho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/mariana-carvalho-4545-min.jpg;4,95%;38776
1555;Lucio Mosquini;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/lucio-mosquini-1555-min.jpg;4,93%;38630
1111;Jaqueline Cassol;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/jaqueline-cassol-1111-min.jpg;4,37%;34193
1234;Silvia Cristina;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/silvia-cristina-1234-min.jpg;4,22%;33038
4040;Dr. Mauro Nazif;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/dr-mauro-nazif-4040-min.jpg;3,88%;30399
1777;Coronel Chrisóstomo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/coronel-chrisostomo-1777-min.jpg;3,62%;28344
7777;Tiziu Jidalias;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/tiziu-jidalias-7777-min.jpg;3,65%;28577
1700;Padovani da Agricultura;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/padovani-da-agricultura-1700-min.jpg;3,40%;26656
2525;Lucas Follador;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/lucas-follador-2525-min.jpg;3,39%;26566
2222;Luiz Claudio da Agricultura;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/luiz-claudio-da-agricultura-2222-min.jpg;3,38%;26438
1010;Lindomar Garçon;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/lindomar-garcon-1010-min.jpg;3,16%;24786
1406;Hosana Capixaba;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/hosana-capixaba-1406-min.jpg;2,80%;21895
1112;Cristiane Lopes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/cristiane-lopes-1112-min.jpg;2,60%;20350
1515;Marinha Raupp;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/marinha-raupp-1515-min.jpg;2,33%;18223
2500;Affonso da Mabel;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/affonso-da-mabel-2500-min.jpg;2,06%;16162
1707;Dr Silmar;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/dr-silmar-1707-min.jpg;1,27%;9973
1122;Paulinho do Cinema;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/paulinho-do-cinema-1122-min.jpg;1,04%;8147
1500;Joziel de Brito;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/joziel-de-brito-1500-min.jpg;0,90%;7074
1799;Dario da 429;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/dario-da-429-1799-min.jpg;0,88%;6860
4333;Aécio de Castro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/aecio-de-castro-4333-min.jpg;0,80%;6286
1212;Indiano Pedroso;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/indiano-pedroso-1212-min.jpg;0,80%;6257
1717;Luana Rocha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/luana-rocha-1717-min.jpg;0,72%;5605
2200;Maria Simões;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/maria-simoes-2200-min.jpg;0,58%;4529
1200;Mão de Cacoal;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/mao-de-cacoal-1200-min.jpg;0,56%;4370
1580;Agnaldo Nepomuceno;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/agnaldo-nepomuceno-1580-min.jpg;0,55%;4312
5500;Jordana Ferreira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/jordana-ferreira-5500-min.jpg;0,52%;4056
2555;Coronel Lisboa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/coronel-lisboa-2555-min.jpg;0,51%;4012
1133;Dr Farias;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/dr-farias-1133-min.jpg;0,51%;3958
5110;Jacy Alves;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/jacy-alves-5110-min.jpg;0,44%;3477
1522;Claudia Moura;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rondonia/deputado-federal/claudia-moura-1522-min.jpg;0,43%;3354
