number;name;img_url;porcentagem;votos
5555;Haroldo Cathedral;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/haroldo-cathedral-5555-min.jpg;5,45%;14751
1011;Jhonatan de Jesus;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/jhonatan-de-jesus-1011-min.jpg;4,96%;13429
1111;Dr. Hiran Gonçalves;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/dr-hiran-goncalves-1111-min.jpg;4,91%;13299
1717;Nicoletti;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/nicoletti-1717-min.jpg;4,79%;12969
4545;Shéridan;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/sheridan-4545-min.jpg;4,48%;12129
2200;Edio Lopes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/edio-lopes-2200-min.jpg;4,42%;11952
7777;Otaci;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/otaci-7777-min.jpg;4,39%;11879
1818;Joenia Wapichana;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/joenia-wapichana-1818-min.jpg;3,14%;8491
1010;Airton Cascavel;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/airton-cascavel-1010-min.jpg;3,88%;10490
2525;Lurene;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/lurene-2525-min.jpg;3,29%;8907
1510;Renato Queiroz;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/renato-queiroz-1510-min.jpg;2,65%;7170
2828;Paulo Linhares;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/paulo-linhares-2828-min.jpg;1,74%;4697
1515;Maria Helena;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/maria-helena-1515-min.jpg;1,68%;4555
6565;Dr. Wesley Thomé;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/dr-wesley-thome-6565-min.jpg;1,54%;4178
1414;Juscelino Pereira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/juscelino-pereira-1414-min.jpg;1,52%;4102
7789;Quequel dos Prazeres;https://cdn-eleicoes.gazetadopovo.com.br/fotos/roraima/deputado-federal/quequel-dos-prazeres-7789-min.jpg;1,49%;4022
