number;name;img_url;porcentagem;votos
3030;Marcel van Hattem;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/marcel-van-hattem-3030-min.jpg;5,99%;349855
2522;Onyx Lorenzoni;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/onyx-lorenzoni-2522-min.jpg;3,14%;183518
2222;Giovani Cherini;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/giovani-cherini-2222-min.jpg;2,60%;151719
1307;Paulo Pimenta;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/paulo-pimenta-1307-min.jpg;2,28%;133086
1355;Marcon;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/marcon-1355-min.jpg;2,10%;122838
1208;Marlon Santos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/marlon-santos-1208-min.jpg;1,99%;116483
4511;Lucas Redecker;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/lucas-redecker-4511-min.jpg;1,96%;114346
5050;Fernanda Melchionna;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/fernanda-melchionna-5050-min.jpg;1,96%;114302
4012;Heitor Schuch;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/heitor-schuch-4012-min.jpg;1,87%;109053
1313;Henrique Fontana;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/henrique-fontana-1313-min.jpg;1,86%;108585
1010;Carlos Gomes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/carlos-gomes-1010-min.jpg;1,77%;103373
1320;Bohn Gass;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/bohn-gass-1320-min.jpg;1,76%;102964
5501;Danrlei de Deus Goleiro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/danrlei-de-deus-goleiro-5501-min.jpg;1,76%;102662
1111;Covatti Filho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/covatti-filho-1111-min.jpg;1,75%;102063
1520;Márcio Biolchi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/marcio-biolchi-1520-min.jpg;1,72%;100362
1500;Alceu Moreira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/alceu-moreira-1500-min.jpg;1,72%;100341
1166;Afonso Hamm;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/afonso-hamm-1166-min.jpg;1,71%;100018
1370;Maria do Rosário;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/maria-do-rosario-1370-min.jpg;1,66%;97303
1144;Pedro Westphalen;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/pedro-westphalen-1144-min.jpg;1,66%;97163
1515;Giovani Feltes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/giovani-feltes-1515-min.jpg;1,59%;93088
1700;Bibo Nunes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/bibo-nunes-1700-min.jpg;1,57%;91664
1133;Jerônimo Goergen;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/jeronimo-goergen-1133-min.jpg;1,53%;89707
1720;Sanderson Federal;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/sanderson-federal-1720-min.jpg;1,52%;88559
1522;Osmar Terra;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/osmar-terra-1522-min.jpg;1,48%;86305
1477;Maurício Dziedricki;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/mauricio-dziedricki-1477-min.jpg;1,43%;83617
1212;Pompeo de Mattos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/pompeo-de-mattos-1212-min.jpg;1,38%;80427
4500;Daniel da Tv;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/daniel-da-tv-4500-min.jpg;1,28%;74789
1412;Marcelo Moraes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/marcelo-moraes-1412-min.jpg;1,20%;69904
1200;Afonso Motta;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/afonso-motta-1200-min.jpg;1,12%;65712
4041;Liziane Bayer;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/liziane-bayer-4041-min.jpg;0,91%;52977
1777;Nereu Crispin;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/nereu-crispin-1777-min.jpg;0,55%;32200
1414;Santini;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/santini-1414-min.jpg;1,17%;68178
1423;Ronaldo Nogueira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/ronaldo-nogueira-1423-min.jpg;1,06%;62119
4321;Mano Changes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/mano-changes-4321-min.jpg;0,95%;55816
4080;José Stédile;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/jose-stedile-4080-min.jpg;0,89%;52148
1818;João Derly;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/joao-derly-1818-min.jpg;0,89%;52040
4077;Diza Gonzaga;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/diza-gonzaga-4077-min.jpg;0,88%;51623
1314;Marco Maia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/marco-maia-1314-min.jpg;0,83%;48423
1122;Renato Molling;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/renato-molling-1122-min.jpg;0,76%;44523
1250;Alceu Barbosa Velho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/alceu-barbosa-velho-1250-min.jpg;0,69%;40489
1502;Perondi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/perondi-1502-min.jpg;0,66%;38819
4544;Yeda Crusius;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/yeda-crusius-4544-min.jpg;0,64%;37549
1544;Paulo Polis;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/paulo-polis-1544-min.jpg;0,63%;37012
4018;Fortunati;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/fortunati-4018-min.jpg;0,60%;35043
5555;Paulo Caleffi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/paulo-caleffi-5555-min.jpg;0,54%;31487
1569;Delegada Márcia Scherer;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/delegada-marcia-scherer-1569-min.jpg;0,49%;28603
1112;José Otávio Germano;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/jose-otavio-germano-1112-min.jpg;0,47%;27377
1330;Claudir Nespolo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/claudir-nespolo-1330-min.jpg;0,46%;26978
1566;Jones Martins;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/jones-martins-1566-min.jpg;0,46%;26924
4524;Paula Ioris;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/paula-ioris-4524-min.jpg;0,43%;25005
1755;Marcelo Brum;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/marcelo-brum-1755-min.jpg;0,42%;24820
1141;Rodinei Candeia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/rodinei-candeia-1141-min.jpg;0,41%;23839
1577;Mauro Pereira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/mauro-pereira-1577-min.jpg;0,40%;23623
2244;Ricardo Wagner;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/ricardo-wagner-2244-min.jpg;0,38%;22412
1771;Marco Marchand;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/marco-marchand-1771-min.jpg;0,38%;22018
1744;Goldenberg - Gold;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/goldenberg-gold-1744-min.jpg;0,35%;20332
1788;Alexandre Bobadra;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/alexandre-bobadra-1788-min.jpg;0,34%;19623
9090;Professor Wambert di Lorenzo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/professor-wambert-di-lorenzo-9090-min.jpg;0,32%;18900
1511;Valter Nagelstein;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/valter-nagelstein-1511-min.jpg;0,31%;18105
4567;Engenheiro Nilton Magalhães;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/engenheiro-nilton-magalhaes-4567-min.jpg;0,30%;17424
1722;Adriana Leite;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/adriana-leite-1722-min.jpg;0,29%;16868
5055;Karen Santos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/karen-santos-5055-min.jpg;0,28%;16438
1000;Dr. Benedetti;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/dr-benedetti-1000-min.jpg;0,27%;15749
1555;Julio Cesar;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/julio-cesar-1555-min.jpg;0,26%;15302
1244;Marcio Patussi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/marcio-patussi-1244-min.jpg;0,26%;15064
1535;Arthur Schmidt;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/arthur-schmidt-1535-min.jpg;0,25%;14382
2517;Coronel Augusto Cesar;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/coronel-augusto-cesar-2517-min.jpg;0,24%;13862
1100;Paula Cassol;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/paula-cassol-1100-min.jpg;0,23%;13274
1077;Pastor Oséas Costa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/pastor-oseas-costa-1077-min.jpg;0,22%;13148
1737;Inspetor Celso Morais;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/inspetor-celso-morais-1737-min.jpg;0,22%;13098
1220;Fernando Xavier;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/fernando-xavier-1220-min.jpg;0,22%;13055
5552;Dr. Fernando Tarrago;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/dr-fernando-tarrago-5552-min.jpg;0,22%;13023
1353;Ivan Duarte;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/ivan-duarte-1353-min.jpg;0,21%;12439
1234;Flavio Zacher;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/flavio-zacher-1234-min.jpg;0,20%;11646
1505;Marcio Amaral;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/marcio-amaral-1505-min.jpg;0,20%;11631
5153;Giovani Moralles;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/giovani-moralles-5153-min.jpg;0,19%;11395
1333;Rodrigo Beltrão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/rodrigo-beltrao-1333-min.jpg;0,19%;11213
1580;Lourdes Sprenger;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/lourdes-sprenger-1580-min.jpg;0,19%;11183
1222;Atilar Junior;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/atilar-junior-1222-min.jpg;0,19%;11136
1705;Renato Toigo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/renato-toigo-1705-min.jpg;0,19%;11039
3077;Mauricio Marcon;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/mauricio-marcon-3077-min.jpg;0,19%;11003
1223;Márcio Freitas;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/marcio-freitas-1223-min.jpg;0,19%;10997
3010;Camilo Bornia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/camilo-bornia-3010-min.jpg;0,19%;10943
3011;Rodrigo Sousa Costa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/rodrigo-sousa-costa-3011-min.jpg;0,19%;10911
3015;Fred Cosentino;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/fred-cosentino-3015-min.jpg;0,18%;10446
1123;Carlos Delgado;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/carlos-delgado-1123-min.jpg;0,17%;10131
1256;Dr.elemar Sand;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/drelemar-sand-1256-min.jpg;0,17%;9761
2277;Gauchinho de Deus;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/gauchinho-de-deus-2277-min.jpg;0,16%;9254
1516;Dr Francisco;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/dr-francisco-1516-min.jpg;0,15%;8894
4004;Mari Machado;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/mari-machado-4004-min.jpg;0,15%;8824
1770;Marconi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/marconi-1770-min.jpg;0,14%;8336
1221;Bianca Bertolucci;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/bianca-bertolucci-1221-min.jpg;0,14%;8318
1199;Diego Pretto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/diego-pretto-1199-min.jpg;0,14%;8055
4089;Saul Spinelli;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/saul-spinelli-4089-min.jpg;0,14%;8022
9010;Cleiton do Jm;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/cleiton-do-jm-9010-min.jpg;0,14%;8011
1321;Professora Rita della Giustina;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/professora-rita-della-giustina-1321-min.jpg;0,14%;7907
2555;Tiago Procópio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/tiago-procopio-2555-min.jpg;0,14%;7891
5099;Fernanda Miranda;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/fernanda-miranda-5099-min.jpg;0,13%;7733
4040;Marco de Brito;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/marco-de-brito-4040-min.jpg;0,13%;7595
1300;Simone;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/simone-1300-min.jpg;0,13%;7466
3333;Ana Cláudia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/ana-claudia-3333-min.jpg;0,13%;7342
1288;Professor Andre Jucoski;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/professor-andre-jucoski-1288-min.jpg;0,12%;7272
2525;Manoel Badke (Maneco);https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/manoel-badke-maneco-2525-min.jpg;0,12%;7261
4070;Tony Sechi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/tony-sechi-4070-min.jpg;0,12%;6849
1711;Marcus Napoleao;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/marcus-napoleao-1711-min.jpg;0,11%;6614
1340;Dra. Anita;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/dra-anita-1340-min.jpg;0,11%;6512
1230;Gilson Thoen - Mamute;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/gilson-thoen-mamute-1230-min.jpg;0,11%;6396
4545;Moisés Barboza;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/moises-barboza-4545-min.jpg;0,11%;6364
1301;Paola;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/paola-1301-min.jpg;0,11%;6300
1030;Nerisson Oliveira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/nerisson-oliveira-1030-min.jpg;0,11%;6268
1233;Sergio Arnoud;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/sergio-arnoud-1233-min.jpg;0,11%;6230
1440;Helder Salvá;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/helder-salva-1440-min.jpg;0,10%;6005
1155;Carlos Pomagerski;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/carlos-pomagerski-1155-min.jpg;0,10%;5998
1120;Carlos Nilo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/carlos-nilo-1120-min.jpg;0,10%;5926
3000;Brunno Messina;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/brunno-messina-3000-min.jpg;0,10%;5841
1310;David Almansa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/david-almansa-1310-min.jpg;0,10%;5810
5040;Guto Lopes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/guto-lopes-5040-min.jpg;0,10%;5645
5550;Toninho Feldmann;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/toninho-feldmann-5550-min.jpg;0,10%;5633
1717;Axi Moncorvo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/axi-moncorvo-1717-min.jpg;0,10%;5631
4020;Wagner Petrini (Muleke);https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/wagner-petrini-muleke-4020-min.jpg;0,10%;5616
1551;Nilson Lehmen;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/nilson-lehmen-1551-min.jpg;0,09%;5517
3075;Eduardo Wartchow;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/eduardo-wartchow-3075-min.jpg;0,09%;5508
5005;Prof Alex Fraga;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/prof-alex-fraga-5005-min.jpg;0,09%;5326
2021;Valdir Roxo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/valdir-roxo-2021-min.jpg;0,09%;5217
1789;Tatiane Marques;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/tatiane-marques-1789-min.jpg;0,09%;5138
1718;Eron Garcia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/eron-garcia-1718-min.jpg;0,08%;4764
2020;Marcos Cruz;https://cdn-eleicoes.gazetadopovo.com.br/fotos/rio-grande-do-sul/deputado-federal/marcos-cruz-2020-min.jpg;0,08%;4717
