number;name;img_url;porcentagem;votos
1010;Hélio Costa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/helio-costa-1010-min.jpg;5,05%;179307
1717;Daniel Freitas;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/daniel-freitas-1717-min.jpg;4,02%;142571
1350;Professor Pedro Uczai;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/professor-pedro-uczai-1350-min.jpg;3,25%;115232
1718;Caroline de Toni;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/caroline-de-toni-1718-min.jpg;3,08%;109363
4577;Geovania de Sa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/geovania-de-sa-4577-min.jpg;2,87%;101937
1570;Carlos Chiodini;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/carlos-chiodini-1570-min.jpg;2,75%;97613
1777;Fabio Schiochet;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/fabio-schiochet-1777-min.jpg;2,46%;87345
1133;Angela Amin;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/angela-amin-1133-min.jpg;2,43%;86189
2323;Carmen Zanotto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/carmen-zanotto-2323-min.jpg;2,39%;84703
1560;Celso Maldaner;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/celso-maldaner-1560-min.jpg;2,26%;80086
1510;Peninha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/peninha-1510-min.jpg;2,17%;76925
5500;Darci de Matos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/darci-de-matos-5500-min.jpg;1,92%;68130
5511;Ricardo Guidi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/ricardo-guidi-5511-min.jpg;1,74%;61830
1762;Coronel Armando;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/coronel-armando-1762-min.jpg;1,69%;60069
4050;Rodrigo Coelho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/rodrigo-coelho-4050-min.jpg;1,22%;43314
3050;Gilson Marques;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/gilson-marques-3050-min.jpg;0,77%;27443
1313;Ana Paula Lima;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/ana-paula-lima-1313-min.jpg;2,15%;76304
4545;Marco Tebaldi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/marco-tebaldi-4545-min.jpg;2,02%;71528
1516;Valdir Colatto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/valdir-colatto-1516-min.jpg;2,01%;71473
2222;Jorge Goetten;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/jorge-goetten-2222-min.jpg;1,74%;61839
1111;Nilson Francisco Stainsack;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/nilson-francisco-stainsack-1111-min.jpg;1,72%;61148
1700;Rui Godinho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/rui-godinho-1700-min.jpg;1,60%;56785
1509;Ronaldo Benedet;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/ronaldo-benedet-1509-min.jpg;1,44%;51073
5510;Cesar Souza Junior;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/cesar-souza-junior-5510-min.jpg;1,34%;47439
1130;Hugo Biehl;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/hugo-biehl-1130-min.jpg;1,31%;46523
1515;Edinho Bez;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/edinho-bez-1515-min.jpg;1,30%;45954
1331;Dirceu Dresch;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/dirceu-dresch-1331-min.jpg;1,29%;45659
1770;Carlos Felipe;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/carlos-felipe-1770-min.jpg;1,24%;44023
1520;Ericsson Luef Hemmer;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/ericsson-luef-hemmer-1520-min.jpg;1,22%;43357
1340;Vignatti;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/vignatti-1340-min.jpg;1,21%;43097
2020;Jaime Evaristo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/jaime-evaristo-2020-min.jpg;1,06%;37645
1799;Comandante Edupercio Pratts;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/comandante-edupercio-pratts-1799-min.jpg;0,99%;35021
1112;Leodegar Tiscoski;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/leodegar-tiscoski-1112-min.jpg;0,96%;34190
7777;Osvaldo Mafra;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/osvaldo-mafra-7777-min.jpg;0,96%;33987
1710;Coronel Feres;https://cdn-eleicoes.gazetadopovo.com.br/fotos/santa-catarina/deputado-federal/coronel-feres-1710-min.jpg;0,85%;30196
