number;name;img_url;porcentagem;votos
5555;Fábio Mitidieri;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/fabio-mitidieri-5555-min.jpg;10,30%;102899
1111;Laercio Oliveira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/laercio-oliveira-1111-min.jpg;6,81%;68014
1515;Fabio Reis;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/fabio-reis-1515-min.jpg;6,50%;64879
7777;Gustinho Ribeiro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/gustinho-ribeiro-7777-min.jpg;6,42%;64132
1311;Joao Daniel;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/joao-daniel-1311-min.jpg;6,00%;59933
2233;Bosco Costa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/bosco-costa-2233-min.jpg;4,79%;47788
2090;Valdevan Noventa;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/valdevan-noventa-2090-min.jpg;4,55%;45472
1212;Fábio Henrique;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/fabio-henrique-1212-min.jpg;3,53%;35226
1313;Marcio Macêdo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/marcio-macedo-1313-min.jpg;4,91%;49055
1010;Pastor Jony;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/pastor-jony-1010-min.jpg;3,94%;39380
2020;Pastor Antonio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/pastor-antonio-2020-min.jpg;3,76%;37556
2222;Adelson Barreto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/adelson-barreto-2222-min.jpg;2,34%;23369
4040;Elber Batalha Filho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/elber-batalha-filho-4040-min.jpg;1,69%;16857
1500;Alexandre Figueiredo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/alexandre-figueiredo-1500-min.jpg;1,62%;16167
1390;Professora Ângela;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/professora-angela-1390-min.jpg;1,35%;13528
4000;Cristiano Viana;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/cristiano-viana-4000-min.jpg;1,00%;9988
1414;Pr. Cantor Elias Silva;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/pr-cantor-elias-silva-1414-min.jpg;0,63%;6263
6500;Marcio Doria;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/marcio-doria-6500-min.jpg;0,62%;6150
4010;Edna de Toinho de Dorinha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/edna-de-toinho-de-dorinha-4010-min.jpg;0,59%;5875
4567;Everaldo de Poço Verde;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/everaldo-de-poco-verde-4567-min.jpg;0,55%;5491
4033;Bijota;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/bijota-4033-min.jpg;0,55%;5464
4001;Alan Vieira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/alan-vieira-4001-min.jpg;0,49%;4917
4545;Suely Ouro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/suely-ouro-4545-min.jpg;0,47%;4708
6555;Lucimara;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/lucimara-6555-min.jpg;0,39%;3852
1555;Kaka de Areia Branca;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/kaka-de-areia-branca-1555-min.jpg;0,34%;3374
9090;Danilo Segundo;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sergipe/deputado-federal/danilo-segundo-9090-min.jpg;0,30%;3002
