number;name;img_url;porcentagem;votos
1720;Eduardo Bolsonaro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/eduardo-bolsonaro-1720-min.jpg;8,74%;1843735
1771;Joice Hasselmann;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/joice-hasselmann-1771-min.jpg;5,11%;1078666
1000;Celso Russomanno;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/celso-russomanno-1000-min.jpg;2,47%;521728
2555;Kim Kataguiri;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/kim-kataguiri-2555-min.jpg;2,21%;465310
2222;Tiririca;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/tiririca-2222-min.jpg;2,15%;453855
1200;Tabata Amaral;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/tabata-amaral-1200-min.jpg;1,25%;264450
2240;Policial Katia Sastre;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/policial-katia-sastre-2240-min.jpg;1,25%;264013
5000;Sâmia Bomfim;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/samia-bomfim-5000-min.jpg;1,18%;249887
2200;Capitão Augusto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/capitao-augusto-2200-min.jpg;1,15%;242327
1920;Pastor Marco Feliciano;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/pastor-marco-feliciano-1920-min.jpg;1,14%;239784
1515;Baleia Rossi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/baleia-rossi-1515-min.jpg;1,01%;214042
3030;Vinicius Poit;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/vinicius-poit-3030-min.jpg;0,98%;207118
5021;Luiza Erundina;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/luiza-erundina-5021-min.jpg;0,84%;176883
1919;Renata Abreu;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/renata-abreu-1919-min.jpg;0,76%;161239
1313;Rui Falcão;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/rui-falcao-1313-min.jpg;0,75%;158389
1777;Alexandre Frota;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/alexandre-frota-1777-min.jpg;0,74%;155522
5050;Ivan Valente;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/ivan-valente-5050-min.jpg;0,74%;155334
1010;Marcos Pereira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/marcos-pereira-1010-min.jpg;0,66%;139165
1370;Carlos Zarattini;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/carlos-zarattini-1370-min.jpg;0,65%;137909
5500;Marco Bertaiolli;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/marco-bertaiolli-5500-min.jpg;0,65%;137628
2299;Marcio Alvino;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/marcio-alvino-2299-min.jpg;0,64%;135844
1100;Guilherme Mussi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/guilherme-mussi-1100-min.jpg;0,64%;134301
2345;Arnaldo Jardim;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/arnaldo-jardim-2345-min.jpg;0,63%;132363
2343;Alex Manente;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/alex-manente-2343-min.jpg;0,60%;127366
4585;Bruna Furlan;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/bruna-furlan-4585-min.jpg;0,60%;126847
4500;Carlos Sampaio;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/carlos-sampaio-4500-min.jpg;0,60%;125666
1353;Nilto Tatto;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/nilto-tatto-1353-min.jpg;0,59%;124281
1111;Ricardo Izar;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/ricardo-izar-1111-min.jpg;0,58%;121869
4510;Vitor Lippi;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/vitor-lippi-4510-min.jpg;0,57%;120529
1190;Tenente Derrite;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/tenente-derrite-1190-min.jpg;0,56%;119034
5577;Cezinha de Madureira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/cezinha-de-madureira-5577-min.jpg;0,56%;119024
1123;Fausto Pinato;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/fausto-pinato-1123-min.jpg;0,56%;118684
1702;Luiz Philippe O. Bragança;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/luiz-philippe-o-braganca-1702-min.jpg;0,56%;118457
2525;Alexandre Leite;https://cdn-eleicoes.gazetadopovo.com.br/fotos/sao-paulo/deputado-federal/alexandre-leite-2525-min.jpg;0,55%;116416
