number;name;img_url;porcentagem;votos
7788;Tiago Dimas;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/tiago-dimas-7788-min.jpg;10,03%;71842
2020;Osires Damaso;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/osires-damaso-2020-min.jpg;8,20%;58726
2222;Vicentinho Junior;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/vicentinho-junior-2222-min.jpg;6,97%;49868
7700;Eli Borges;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/eli-borges-7700-min.jpg;6,82%;48812
2525;Carlos Henrique Gaguim;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/carlos-henrique-gaguim-2525-min.jpg;6,71%;48012
2580;Professora Dorinha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/professora-dorinha-2580-min.jpg;6,71%;48008
1511;Dulce Miranda;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/dulce-miranda-1511-min.jpg;5,69%;40719
1303;Celio Moura;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/celio-moura-1303-min.jpg;2,54%;18167
1145;Lazaro Botelho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/lazaro-botelho-1145-min.jpg;5,62%;40270
9090;Josi Nunes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/josi-nunes-9090-min.jpg;4,40%;31510
4040;Tiago Andrino;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/tiago-andrino-4040-min.jpg;3,15%;22538
5510;Diogo Fernandes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/diogo-fernandes-5510-min.jpg;2,40%;17170
4511;Eduardo Fortes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/eduardo-fortes-4511-min.jpg;2,02%;14451
4555;Ruben Ritter;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/ruben-ritter-4555-min.jpg;1,84%;13173
3131;Joao Oliveira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/joao-oliveira-3131-min.jpg;1,65%;11836
1010;Sargento João Victor;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/sargento-joao-victor-1010-min.jpg;0,74%;5295
4545;Marta Ramos;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/marta-ramos-4545-min.jpg;0,73%;5225
6565;Joao Lucas;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/joao-lucas-6565-min.jpg;0,68%;4896
4343;Geferson Barros;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/geferson-barros-4343-min.jpg;0,61%;4357
4010;Felipe Rocha;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/felipe-rocha-4010-min.jpg;0,59%;4211
1310;Professor Adão Francisco;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/professor-adao-francisco-1310-min.jpg;0,51%;3635
1031;Joyce;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/joyce-1031-min.jpg;0,44%;3158
1355;Cicera do Pt;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/cicera-do-pt-1355-min.jpg;0,43%;3063
1333;Dr. Arimateia;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/dr-arimateia-1333-min.jpg;0,41%;2932
1314;Maria Vanir;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/maria-vanir-1314-min.jpg;0,39%;2764
1330;Vilela;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/vilela-1330-min.jpg;0,36%;2589
5120;Pastora Hilda;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/pastora-hilda-5120-min.jpg;0,33%;2385
4321;Antonio Bandeira;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/antonio-bandeira-4321-min.jpg;0,33%;2379
4500;Dr. Luciano de Castro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/dr-luciano-de-castro-4500-min.jpg;0,32%;2316
1322;Ronaldinho;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/ronaldinho-1322-min.jpg;0,27%;1947
4510;Marcos da Eticam;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/marcos-da-eticam-4510-min.jpg;0,26%;1842
1344;Julio Carteiro;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/julio-carteiro-1344-min.jpg;0,22%;1602
7070;Tom Lyra;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/tom-lyra-7070-min.jpg;0,21%;1524
1818;Queops;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/queops-1818-min.jpg;0,07%;523
3100;Eula Angelim;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/eula-angelim-3100-min.jpg;0,05%;369
4300;Poleany Gomes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/poleany-gomes-4300-min.jpg;0,05%;329
4000;Kalene Cristina;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/kalene-cristina-4000-min.jpg;0,04%;306
4567;Sérgius Prestes;https://cdn-eleicoes.gazetadopovo.com.br/fotos/tocantins/deputado-federal/sergius-prestes-4567-min.jpg;0,04%;282
