id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;number;votos;porcentagem
130000612250;DEPUTADO ESTADUAL;SALUSTRIANO PEREIRA ANACLETO DA SILVA;20345;IRMAO SALU;APTO;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;BETIM;12/07/1966;MASCULINO;SUPERIOR INCOMPLETO;DIVORCIADO(A);PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;;300.0;;;;
130000620879;DEPUTADO ESTADUAL;ROZANI MARIA ROCHA DE AZEVEDO;43043;ROZÂNI JULIANA MARIA;APTO;DEFERIDO;43;PV;PARTIDO VERDE;BAIXO GUANDU;27/11/1957;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PARDA;INDUSTRIAL;N;SUPLENTE;DEFERIDO;;91781.68;59613.2;;;
130000626978;DEPUTADO FEDERAL;REGINALDO LAZARO DE OLIVEIRA LOPES;1312;REGINALDO LOPES;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;BOM SUCESSO;02/04/1973;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;DEPUTADO;S;ELEITO POR QP;DEFERIDO;622916.1;1056430.62;1028965.19;1312.0;1,93%;194332.0
130000613238;DEPUTADO FEDERAL;ANIBAL HENRIQUE DE OLIVEIRA MACEDO;2323;ANIBAL MACEDO;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;BELO HORIZONTE;06/07/1971;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;20000.0;94982.28;71193.35;2323.0;0,02%;2110.0
130000610222;DEPUTADO ESTADUAL;MARIANO ANTONIO DA FONSECA REIS;36150;MARIANO FONSECA;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;LAMBARI;07/11/1962;MASCULINO;LÊ E ESCREVE;CASADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;1521000.0;18414.0;7996.96;;;
130000616581;DEPUTADO ESTADUAL;MARCO ANTONIO ROCHA;17001;MARCO ROCHA;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;GUANHAES;22/11/1954;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;SUPLENTE;DEFERIDO;440564.25;11037.4;11029.9;;;
130000610211;DEPUTADO ESTADUAL;HAROLDO DOUVIDE;36036;HAROLDO DOUVIDE;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;SÃO PAULO;10/06/1970;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;35400.0;19292.48;15170.08;;;
130000606463;DEPUTADO FEDERAL;CARLOS DE FREITAS COSTA;7016;CARLOS FREITAS;APTO;DEFERIDO;70;AVANTE;AVANTE;BELO HORIZONTE;12/06/1963;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;N;SUPLENTE;DEFERIDO;816000.0;;;7016.0;0,00%;376.0
130000617940;DEPUTADO ESTADUAL;FERNANDA FLORENTINO DA SILVA;28810;FERNANDA FLORENTINO;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;BELO HORIZONTE;27/12/1988;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;MANICURE E MAQUILADOR;N;SUPLENTE;DEFERIDO;;496.88;;;;
130000606480;DEPUTADO FEDERAL;GERALDO SEBASTIAO MAGELA DIAS;7007;GERALDO MAGELA - CEGUINHO;APTO;DEFERIDO;70;AVANTE;AVANTE;BELO HORIZONTE;10/05/1958;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;1230900.25;124817.6;94000.0;7007.0;0,13%;13186.0
