id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;number;votos;porcentagem
160000623318;DEPUTADO ESTADUAL;SAMUEL PEREIRA DA SILVA;40190;SAMUEL DANTAS;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;ASSAI;23/10/1992;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;98000.0;29000.0;28999.280000000002;;;
160000628455;GOVERNADOR;OGIER ALBERGE BUCHI;17;OGIER BUCHI;INAPTO;INDEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;CURITIBA;22/11/1951;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;NÃO ELEITO;INDEFERIDO COM RECURSO;2800000.0;18000.0;25353.87;;;
160000622356;DEPUTADO ESTADUAL;NASSIB KASSEM HAMMAD;33777;DR. NASSIB;APTO;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;ALTONIA;10/10/1967;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;MÉDICO;N;SUPLENTE;DEFERIDO COM RECURSO;468284.88;12722.5;10614.9;;;
160000612843;DEPUTADO FEDERAL;CLICEU ANTUNES PEREIRA;4351;PROFESSOR CLICEU;APTO;DEFERIDO;43;PV;PARTIDO VERDE;PONTA GROSSA;27/11/1947;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PRETA;SERVIDOR PÚBLICO CIVIL APOSENTADO;N;SUPLENTE;DEFERIDO;632572.91;222.0;220.5;4351.0;0,00%;126.0
160000623345;DEPUTADO ESTADUAL;MARCOS ELIAS TRAAD DA SILVA;45245;MARCOS TRAAD;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;RIO DE JANEIRO;12/06/1958;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ZOOTECNISTA;N;SUPLENTE;DEFERIDO;1411191.5;66491.45999999999;65823.35;;;
160000609962;DEPUTADO FEDERAL;MARLUS HUMBERTO GERONASSO;1820;PROFESSOR MARLUS;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;CURITIBA;24/12/1965;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;N;NÃO ELEITO;DEFERIDO;590000.0;16375.0;11747.19;1820.0;0,08%;4656.0
160000623010;VICE-GOVERNADOR;ANATERRA VIANA;13;ANATERRA;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;CURITIBA;10/09/1981;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;JORNALISTA E REDATOR;N;NÃO ELEITO;DEFERIDO;1287.63;;;;;
160000623031;DEPUTADO ESTADUAL;MOIZES DE FREITAS LEAL;13132;LEAL;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;LARANJEIRAS DO SUL;10/10/1973;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;COMERCIANTE;N;SUPLENTE;DEFERIDO;;1250.0;1050.0;;;
160000621773;DEPUTADO FEDERAL;LUIZ CARLOS CAITO QUINTANA;1510;CAITO QUINTANA;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;SANTO AUGUSTO;30/07/1946;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;6185579.899999999;152719.68;142000.0;1510.0;0,14%;8299.0
160000629007;DEPUTADO ESTADUAL;LEONARDO DE CARVALHO MARCONDES SALGADO;12222;LEONARDO SALGADO;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;SAO PAULO;11/11/1991;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;400000.0;9320.0;4948.24;;;
