id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;number;votos;porcentagem
190000622912;DEPUTADO ESTADUAL;JUSSARA DE BRITO NASCIMENTO;40235;SARA DE BRITO;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;RIO DE JANEIRO;17/01/1973;FEMININO;SUPERIOR INCOMPLETO;VIÚVO(A);PRETA;ASSISTENTE SOCIAL;N;SUPLENTE;DEFERIDO;;4471.02;;;;
190000607441;DEPUTADO FEDERAL;LEANDRO CORREA DE SOUZA;1120;LEANDRO SOUZA;INAPTO;RENÚNCIA;11;PP;PROGRESSISTAS;RIO DE JANEIRO;28/06/1977;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;;;87980.0;154.25;;;;
190000622236;DEPUTADO ESTADUAL;DIANASCENTE PEREIRA DE SANT ANNA;12524;INDIA;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;RIO DE JANEIRO;16/01/1956;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PARDA;VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;N;SUPLENTE;DEFERIDO;;11640.59;10000.0;;;
190000626436;DEPUTADO FEDERAL;JULIO DA SILVA GONÇALVES OLIVEIRA ;1055;JULIO GONÇALVES ;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;PARACAMBI;07/06/1983;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;626348.1499999999;276323.32;249073.32;1055.0;0,15%;11466.0
190000618389;DEPUTADO ESTADUAL;RONALDO DO CARMO ANQUIETA;15159;RONALDO ANQUIETA;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;RIO DE JANEIRO;09/10/1976;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PRETA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;109000.0;201024.22999999998;149869.5;;;
190000625133;DEPUTADO ESTADUAL;GUSTAVO MATHEUS DE OLIVEIRA SANTOS;43123;GUSTAVO MATHEUS;APTO;DEFERIDO;43;PV;PARTIDO VERDE;CAMPOS DOS GOYTACAZES;21/01/1987;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;N;SUPLENTE;INDEFERIDO COM RECURSO;;26000.0;37801.7;;;
190000602157;DEPUTADO ESTADUAL;MARIA IVONE DOS SANTOS SUPPO;50666;MARIA IVONE SUPPO;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;NITERÓI;26/05/1961;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;SERVIDOR PÚBLICO MUNICIPAL;N;SUPLENTE;DEFERIDO;4000.0;3386.2;;;;
190000602170;DEPUTADO ESTADUAL;THAIS DE SOUZA FERREIRA;50010;THAIS FERREIRA;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;RIO DE JANEIRO;19/09/1988;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;OUTROS;N;SUPLENTE;DEFERIDO;;73661.75;69005.0;;;
190000622866;DEPUTADO ESTADUAL;FLAVIO GUEDES DE MEDEIROS;51234;FLAVIO GUEDES;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;RIO DE JANEIRO;07/03/1953;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ENGENHEIRO;N;SUPLENTE;DEFERIDO;471382.76;31837.0;29000.0;;;
190000603298;DEPUTADO ESTADUAL;GELSON HENRIQUE SANTOS DA SILVA;77369;GELSON HENRIQUE;APTO;DEFERIDO;77;SOLIDARIEDADE;SOLIDARIEDADE;NOVA IGUAÇU;06/10/1964;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;VEREADOR;N;SUPLENTE;DEFERIDO;450790.52999999997;10200.0;10000.0;;;
