id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;number;votos;porcentagem
210000629710;2º SUPLENTE;LUCIANO GOLDENBERG;190;LUCIANO GOLDENBERG;APTO;DEFERIDO;43;PV;PARTIDO VERDE;PORTO ALEGRE;18/08/1974;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;REPRESENTANTE COMERCIAL;N;NÃO ELEITO;DEFERIDO;;;;;;
210000602756;DEPUTADO ESTADUAL;KATIA SOARES ALBERTI;10010;KÁTIA 10;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;FREDERICO WESTPHALEN;05/06/1978;FEMININO;SUPERIOR COMPLETO;CASADO(A);PRETA;ASSISTENTE SOCIAL;N;SUPLENTE;DEFERIDO;;10741.93;3500.0;;;
210000600014;DEPUTADO ESTADUAL;MAURICIO CAMARGO DOS REIS;50001;MAURICIO REIS;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;OSÓRIO;27/03/1995;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;OUTROS;N;SUPLENTE;DEFERIDO;;1006.82;982.34;;;
210000604718;DEPUTADO ESTADUAL;DIEISON JOCEMAR ENGROFF;35555;DIEISON;APTO;DEFERIDO;35;PMB;PARTIDO DA MULHER BRASILEIRA;HUMAITA;10/08/1987;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;JORNALISTA E REDATOR;N;SUPLENTE;DEFERIDO;101000.0;38425.22;34946.46;;;
210000609476;DEPUTADO FEDERAL;MARLI ALVES DOS SANTOS TEIXEIRA;6511;MARLI TEIXEIRA EDUCADORA;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;OSÓRIO;20/06/1960;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;42883.0;2543.5;992.68;6511.0;0,01%;458.0
210000609487;DEPUTADO ESTADUAL;JOSÉ RICARDO DOS SANTOS DE SOUZA;65123;RICARDO SANTOS;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;SANTA VITÓRIA DO PALMAR;17/04/1972;MASCULINO;LÊ E ESCREVE;CASADO(A);BRANCA;COMERCIANTE;N;NÃO ELEITO;DEFERIDO;;53485.2;43011.15;;;
210000600021;DEPUTADO ESTADUAL;MATHEUS PEREIRA GOMES;50123;MATHEUS GOMES;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;PORTO ALEGRE;02/09/1991;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;OUTROS;N;SUPLENTE;DEFERIDO;;17829.85;17214.5;;;
210000600982;DEPUTADO ESTADUAL;AIRTON CANOVA;40999;PROFESSOR CANOVA;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;TRES PASSOS;28/09/1971;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO MÉDIO;N;SUPLENTE;DEFERIDO;;16400.0;14981.19;;;
210000625306;DEPUTADO ESTADUAL;LEANDRO ALVES DE ALMEIDA;12812;LEANDRO ALMEIDA;INAPTO;RENÚNCIA;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;BUTIA;22/02/1956;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);BRANCA;OUTROS;N;;;;;;;;
210000611997;DEPUTADO ESTADUAL;MIGUEL CONSTANTINO ROSSO BIANCHINI;22999;BOMBEIRO BIANCHINI;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;SANTIAGO;08/05/1961;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;DEPUTADO;S;SUPLENTE;DEFERIDO;311288.32;149414.0;135997.26;;;
