id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;number;votos;porcentagem
240000614208;DEPUTADO ESTADUAL;SANDRA REGINA PARMA;33333;SANDRA PARMA;APTO;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;RIO DO SUL;01/11/1974;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;;29192.91;34812.51;;;
240000601876;DEPUTADO ESTADUAL;BISMAR LUIZ ROSÁRIO DA CONCEIÇÃO;50555;BISMAR CONCEIÇÃO;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;FLORIANÓPOLIS;08/05/1955;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PRETA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;NÃO ELEITO;DEFERIDO;129500.0;4292.46;1641.98;;;
240000619065;DEPUTADO ESTADUAL;ORLANDO LIDUINO;40788;ORLANDO (SIRI);APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;IMBITUBA;17/03/1959;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);PRETA;OUTROS;N;SUPLENTE;DEFERIDO;330000.0;13555.0;5000.0;;;
240000609772;DEPUTADO ESTADUAL;ISABEL KARIN DOERNER;28123;ISABEL KARIN;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;SÃO BONIFÁCIO;09/04/1987;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ARTESÃO;N;SUPLENTE;DEFERIDO;3000.0;1428.57;1428.57;;;
240000601851;DEPUTADO ESTADUAL;MARIA FERNANDA SANTIAGO DE ANDRADE LIMA;50999;MARIA FERNANDA;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;FLORIANÓPOLIS;29/06/1983;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO;;5679.29;3999.37;;;
240000624487;DEPUTADO FEDERAL;AGOSTINHO LUIZ SCHIOCHETTI;5454;AGOSTINHO SCHIOCHETTI;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;CONCÓRDIA;24/08/1969;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;NÃO ELEITO;DEFERIDO;263000.0;23800.0;27242.43;5454.0;0,17%;6047.0
240000627320;DEPUTADO ESTADUAL;ERICKA YORRANY DIAS DE OLIVEIRA;43210;ERICKA YORRANY;INAPTO;INDEFERIDO;43;PV;PARTIDO VERDE;PLANALTINA;06/12/1992;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;N;;;4463.0;32804.99;;;;
240000609720;DEPUTADO FEDERAL;NEWTON MENDES JUNIOR;1720;NEWTON MENDES;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;RIO NEGRO;10/01/1963;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;750044.48;46986.75;36986.75;1720.0;0,29%;10387.0
240000627240;DEPUTADO ESTADUAL;RAFAEL LASKE;55155;RAFAEL LASKE - MAMÃO;APTO;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;JOAÇABA;20/04/1975;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;32689.54;171928.06;166907.84;;;
240000609766;DEPUTADO ESTADUAL;RICARDO WIPPEL;23423;RICARDO WIPPEL;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;BLUMENAU;27/10/1991;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;30000.0;15743.5;15000.0;;;
