id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;deputado_number;votes
250000604043;DEPUTADO ESTADUAL;MARCOS DANIEL GOMES DE SOUSA;15200;MARCOS DANIEL;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;ARARAQUARA;28/05/1984;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;152514.28;134289.01;120606.35;;
250000618484;DEPUTADO ESTADUAL;NEUSA DA SILVA OLIVEIRA;44977;NEUSA PIMENTA;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;SÃO PAULO;10/01/1959;FEMININO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PRETA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO;;;;;
250000629683;DEPUTADO FEDERAL;JARKSON VILAR DA SILVA;9000;JACKSON VILLAR;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;CATOLE DA ROCHA;22/07/1979;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;OUTROS;N;NÃO ELEITO;PENDENTE DE JULGAMENTO;;;;9000.0;0.0
250000620034;DEPUTADO ESTADUAL;LAURINDA VAZ DE LIMA;36000;LINDA VAZ;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;SAO PAULO;25/03/1964;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;;;;;
250000603032;DEPUTADO ESTADUAL;LUIZ ALBERTO TEIXEIRA FERREIRA;51737;COMANDANTE LUIZ ALBERTO - GAIA;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;ÁGUAS DA PRATA;28/09/1963;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;;74504.53;52081.29;;
250000607101;DEPUTADO ESTADUAL;LUIZ CARLOS DOS ANJOS FREITAS;70341;LUIZ FREITAS;APTO;DEFERIDO;70;AVANTE;AVANTE;SÃO PAULO;05/03/1956;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;1101.79;;;
250000613284;DEPUTADO FEDERAL;ORLANDO APARECIDO TOMASELLA;1799;CORONEL TOMASELLA;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;RIO CLARO;01/09/1949;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;SUPLENTE;DEFERIDO;2204544.39;29000.0;29000.0;1799.0;16422.0
250000600520;DEPUTADO FEDERAL;ZENILDA LUCIANA MATOS FERREIRA DA SILVA;9015;LUCIANA MATOS;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;SAO PAULO;30/06/1964;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;ENFERMEIRO;N;NÃO ELEITO;DEFERIDO;;;;9015.0;127.0
250000603986;DEPUTADO FEDERAL;EDUARDO RODRIGUES XAVIER;1545;EDUARDO XAVIER;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;ILHA SOLTEIRA;08/01/1971;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;VEREADOR;N;SUPLENTE;DEFERIDO;269331.26;192666.66;184230.21;1545.0;8042.0
250000606960;DEPUTADO FEDERAL;PAULINA ROSA DE SOUZA JACINTO;7024;GRETE COVER;APTO;DEFERIDO;70;AVANTE;AVANTE;SÃO PAULO;15/05/1959;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;;2707.6299999999997;26.4;7024.0;123.0
250000607113;DEPUTADO ESTADUAL;MIGUEL CARMINE GIANETTI NETTO;70800;MIGUEL GIANETTI;APTO;DEFERIDO;70;AVANTE;AVANTE;SÃO PAULO;03/08/1984;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ENGENHEIRO;N;SUPLENTE;DEFERIDO;;15200.0;14915.6;;
250000613289;DEPUTADO ESTADUAL;ROBERTO DE LIMA FERNANDES;17911;SARGENTO LIMA;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;SÃO PAULO;07/02/1973;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;POLICIAL MILITAR;N;SUPLENTE;DEFERIDO;;9139.57;9139.57;;
250000606830;DEPUTADO ESTADUAL;EDSON ALEXANDRE PEREIRA;65999;EDINHO DO SALÃO;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;MOGI DAS CRUZES;02/07/1980;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PRETA;CABELEIREIRO E BARBEIRO;N;SUPLENTE;DEFERIDO;3800.0;21227.48;20000.0;;
250000601492;DEPUTADO ESTADUAL;LUCAS DE PAULA LANDIN;50080;LUCAS LANDIN;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;SÃO PAULO;02/01/1996;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;N;SUPLENTE;DEFERIDO;;4065.04;2011.04;;
250000608477;DEPUTADO ESTADUAL;FELIPE ANDRE CANUTO GOMES;31303;FELIPE CANUTO;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;DUQUE DE CAXIAS;04/01/1964;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;;13250.4;5284.0;;
250000615310;DEPUTADO ESTADUAL;ORLANDO COUTO JUNIOR;43369;PROFESSOR ORLANDO;APTO;DEFERIDO;43;PV;PARTIDO VERDE;SANTOS;05/07/1967;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;N;SUPLENTE;DEFERIDO;;21100.0;19100.0;;
250000600385;DEPUTADO ESTADUAL;EDUARDO FERREIRA;90012;DR EDUARDO;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;OSASCO;28/02/1964;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;OUTROS;N;SUPLENTE;DEFERIDO;;;;;
250000608438;DEPUTADO ESTADUAL;ROSÁLIA DOS SANTOS LIMA;35022;ROSÁLIA MAIS SAÚDE;APTO;DEFERIDO;35;PMB;PARTIDO DA MULHER BRASILEIRA;ALAGOINHAS;07/01/1969;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;ENFERMEIRO;N;SUPLENTE;DEFERIDO;125000.0;10614.0;10614.0;;
250000608503;DEPUTADO ESTADUAL;LUIS FERNANDO QUINTEIRO DE SOUZA;31007;FERNANDO QUINTEIRO;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;ASSIS;14/04/1959;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;N;SUPLENTE;DEFERIDO;222155.18;112133.08;100273.22;;
250000609197;DEPUTADO ESTADUAL;GABRIELA GUERRERO ARIONE;16123;PROFESSORA GABRIELA;APTO;DEFERIDO;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;SÃO PAULO;21/11/1987;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;PROFESSOR DE ENSINO FUNDAMENTAL;N;NÃO ELEITO;DEFERIDO;17000.0;467.27;;;
250000617857;DEPUTADO ESTADUAL;ROBERTO VIEIRA DIAS;33216;BAHIANAO;APTO;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;SAO PAULO;09/07/1963;MASCULINO;ENSINO MÉDIO INCOMPLETO;DIVORCIADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;20000.0;;;;
250000618531;DEPUTADO FEDERAL;CICERO SANTANA DA SILVA;4413;CÍCERO PERUEIRO;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;MACEIO;13/02/1962;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;MOTORISTA PARTICULAR;N;NÃO ELEITO;DEFERIDO;;;;4413.0;286.0
250000618557;DEPUTADO FEDERAL;RENATA APARECIDA DE LIMA;4431;RENATA LIMA;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;GUARULHOS;30/06/1982;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;84000.0;954.0;;4431.0;229.0
250000606242;DEPUTADO FEDERAL;LEANDRO MOREIRA;1019;LEANDRO MOREIRA LÊ;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;BIRIGUI;14/09/1979;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;COMERCIANTE;N;SUPLENTE;DEFERIDO;8583.54;34205.0;24995.95;1019.0;7484.0
250000602871;DEPUTADO FEDERAL;CLOVES ALVES DE SOUZA;5121;DR CLOVES;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;SÃO PAULO;20/04/1960;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;ADVOGADO;N;NÃO ELEITO;DEFERIDO;3277664.41;64470.0;62749.3;5121.0;1129.0
250000623668;DEPUTADO ESTADUAL;GETÚLIO DE SOUSA SANTOS;28328;GETÚLIO DE SOUSA;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;CARACOL;27/11/1985;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO;;24417.52;22706.88;;
250000604057;DEPUTADO ESTADUAL;MARCOS LEANDRO GOMES VIEIRA;15601;MARCOS LEANDRO;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;CARATINGA;02/02/1977;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;;15950.74;9979.0;;
250000619491;DEPUTADO ESTADUAL;RICARDO ROSSI MADALENA;22123;RICARDO MADALENA;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;SANTA CRUZ DO RIO PARDO;05/03/1965;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;S;ELEITO POR QP;DEFERIDO;747351.64;936888.02;892604.1;;
250000617856;DEPUTADO ESTADUAL;ROBERTO BARBOSA RODRIGUES;33140;ROBERTO RODRIGUES;APTO;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;ARUJÁ;14/10/1985;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;BIÓLOGO;N;SUPLENTE;DEFERIDO;40000.0;1866.05;1866.05;;
250000613436;DEPUTADO ESTADUAL;MANOEL SANTOS ROCHA;17062;MANELÃO ROCHA;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;ITARANTIM;02/06/1966;MASCULINO;ENSINO MÉDIO COMPLETO;SEPARADO(A) JUDICIALMENTE;PARDA;JORNALISTA E REDATOR;N;SUPLENTE;DEFERIDO;;5730.95;5729.2;;
250000629692;DEPUTADO ESTADUAL;MARCELO DONIZETTI FARIA RAMALHO ;44800;DONNY MARC ;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;SÃO PAULO;16/07/1967;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;MÚSICO;N;NÃO ELEITO;DEFERIDO;98000.0;;;;
