id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;cargo_disputado;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;deputado_number;votes
50000606390;DEPUTADO ESTADUAL;ABRAAO JOVINIANO DOS SANTOS;31168;ABRAAO JOVINIANO;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;SALVADOR;15/05/1968;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS;N;SUPLENTE;DEFERIDO;;;;;
50000606391;DEPUTADO ESTADUAL;EDMILSON SANTOS PASSOS;31112;EDMILSON PASSOS;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;FEIRA DE SANTANA;03/03/1959;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;SUPERVISOR, INSPETOR E AGENTE DE COMPRAS E VENDAS;N;SUPLENTE;DEFERIDO;;500.0;;;
50000605139;DEPUTADO ESTADUAL;DAIANE SILVA RODRIGUES;20377;DAIANE RODRIGUES;APTO;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;SALVADOR;28/01/1981;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;COMERCIANTE;N;SUPLENTE;DEFERIDO;;8616.54;4746.2;;
50000628474;DEPUTADO ESTADUAL;ALBERT SILVA DOS SANTOS;28800;BETO BATALHA;INAPTO;NÃO CONHECIMENTO DO PEDIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;DIAS D´AVILA;05/07/1996;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PRETA;EMPRESÁRIO;N;;;;50.0;;;
50000604277;DEPUTADO FEDERAL;JULIO CESAR DOS SANTOS;1881;PROFESSOR JULIO;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;BELO HORIZONTE;17/11/1970;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;OUTROS;N;NÃO ELEITO;DEFERIDO;31000.0;2040.61;;1881.0;202.0
50000608115;DEPUTADO FEDERAL;GISLENE PEREIRA DOS SANTOS;1502;GISLENE PEREIRA;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;SAO FRANCISCO DO CONDE;10/04/1975;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;;10000.0;9903.6;1502.0;472.0
50000608116;1º SUPLENTE;MARCELO SIQUEIRA BARRETO;277;MARCELO BARRETO;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;SALVADOR;19/08/1966;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADMINISTRADOR;N;NÃO ELEITO;DEFERIDO;1056000.0;;;;
50000608035;DEPUTADO ESTADUAL;CÉLIA JANAINA LOPES RIOS;19023;JANAINA RIOS;APTO;DEFERIDO;19;PODE;PODEMOS;VALENTE;23/06/1972;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;ECONOMISTA;N;SUPLENTE;DEFERIDO;120000.0;89000.0;88974.3;;
50000627544;DEPUTADO ESTADUAL;ALENCAR DE SOUZA OLIVEIRA;15123;ALENCAR;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;MEDEIROS NETO;14/02/1975;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;POLICIAL MILITAR;N;SUPLENTE;DEFERIDO;20000.0;20150.35;20150.35;;
50000608010;DEPUTADO ESTADUAL;KATIA CRISTINA ALVES DE SOUZA;13666;KATIA DA SAÚDE;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;JACOBINA;05/04/1966;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;ENFERMEIRO;N;SUPLENTE;DEFERIDO;165000.0;23450.0;23450.0;;
