id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
60000620383;DEPUTADO FEDERAL;JOÃO BOSCO AYRES VIANA;3659;JOÃO BOSCO VIANA;INAPTO;INDEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;FORTALEZA;06/11/1961;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;SERVIDOR PÚBLICO MUNICIPAL;N;NÃO ELEITO;INDEFERIDO COM RECURSO;35000.0;;;0,00%;0.0
60000611955;DEPUTADO FEDERAL;CARLOS MAURO BENEVIDES FILHO;1221;MAURO FILHO;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;FORTALEZA;09/03/1959;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;PROFESSOR DE ENSINO SUPERIOR;N;ELEITO POR QP;DEFERIDO;975484.35;698236.7;898299.74;3,43%;157510.0
60000629050;DEPUTADO FEDERAL;ADILENE DE LIMA NOBRE ;5090;ADILENE NOBRE;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;FORTALEZA;28/04/1986;FEMININO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PARDA;COMERCIANTE;N;NÃO ELEITO;DEFERIDO;80000.0;3405.95;2603.2;0,01%;332.0
60000601291;DEPUTADO FEDERAL;CAMILA BOTELHO DE CASTRO;9022;CAMILA BOTELHO ;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;FORTALEZA;01/05/1979;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;108333.33;150000.0;;0,08%;3503.0
60000605098;DEPUTADO FEDERAL;JOSÉ ADAIL CARNEIRO SILVA;1900;ADAIL CARNEIRO;APTO;DEFERIDO;19;PODE;PODEMOS;SOLONÓPOLE;11/07/1963;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;DEPUTADO;S;SUPLENTE;DEFERIDO;13103656.129999999;712500.0;699924.19;1,39%;64089.0
60000605070;DEPUTADO FEDERAL;ANTONIA BRAGA SALES;1540;TOINHA BRAGA;INAPTO;RENÚNCIA;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;IRAUÇUBA;30/04/1956;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;AGENTE ADMINISTRATIVO;N;;;;600.0;;;
60000611576;DEPUTADO FEDERAL;ANTONIA JANE MARIA DO VALE SOUZA;4518;JANE DO VALE;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;FORTALEZA;09/08/1964;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS;N;SUPLENTE;DEFERIDO;;25371.0;9967.55;0,01%;246.0
60000605032;DEPUTADO FEDERAL;ODECIO RODRIGUES CARNEIRO;7793;ODECIO CARNEIRO;APTO;DEFERIDO;77;SOLIDARIEDADE;SOLIDARIEDADE;URUOCA;11/10/1970;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO FEDERAL;N;SUPLENTE;DEFERIDO;578604.8;301449.63;288949.63;0,60%;27452.0
60000628103;DEPUTADO FEDERAL;LUISA GONÇALVES DA SILVA;4004;LUISA GONÇALVES;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;PEDRA BRANCA;25/03/1957;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;ADVOGADO;N;SUPLENTE;DEFERIDO;;112890.0;110000.0;0,02%;1063.0
60000611004;DEPUTADO FEDERAL;ANTONIO JOSE AGUIAR ALBUQUERQUE;1111;AJ ALBUQUERQUE;APTO;DEFERIDO;11;PP;PROGRESSISTAS;FORTALEZA;26/09/1983;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;EMPRESÁRIO;N;ELEITO POR QP;DEFERIDO;824971.04;981827.5;960307.59;2,88%;132319.0
60000611814;DEPUTADO FEDERAL;MARIA DE FATIMA BEZERRA SILVA;1795;MARA SILVA;INAPTO;INDEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;FORTALEZA;15/02/1958;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;ASSISTENTE SOCIAL;N;NÃO ELEITO;INDEFERIDO COM RECURSO;180000.0;;;0,00%;0.0
60000622559;DEPUTADO FEDERAL;MARIA VITÓRIA MACIEL DE OLIVEIRA;1840;MARIA VITÓRIA MACIEL;INAPTO;RENÚNCIA;18;REDE;REDE SUSTENTABILIDADE;MARANGUAPE;27/01/1997;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;DONA DE CASA;N;;;;1800.0;;;
60000620563;DEPUTADO FEDERAL;FERNANDO DANTAS VIEIRA;5001;HELENA VIEIRA;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;SÃO PAULO;16/11/1990;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;ESCRITOR E CRÍTICO;N;NÃO ELEITO;DEFERIDO;697.12;23833.08;22281.75;0,16%;7305.0
60000611949;DEPUTADO FEDERAL;PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES;1451;PEDRO BEZERRA;APTO;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;SALVADOR;11/10/1980;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;SOCIÓLOGO;N;ELEITO POR QP;DEFERIDO;3916641.51;733717.55;719011.55;2,59%;119030.0
60000611948;DEPUTADO FEDERAL;FRANCISCA AURINEIDE E SILVA;1414;AURINEIDE SILVA;APTO;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;IGUATU;08/03/1960;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;OUTROS;N;SUPLENTE;DEFERIDO;;80000.0;80244.9;0,01%;621.0
60000611745;DEPUTADO FEDERAL;FERNANDES NOGUEIRA CAMELO;2711;NOGUEIRA;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;FORTALEZA;19/12/1963;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;MILITAR REFORMADO;N;SUPLENTE;DEFERIDO;47000.0;3017.85;3017.85;0,00%;202.0
60000620574;DEPUTADO FEDERAL;ALEXANDRE ARAUJO COSTA;5030;ALEXANDRE COSTA;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;FORTALEZA;27/12/1969;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;N;NÃO ELEITO;DEFERIDO;344065.0;32176.13;30985.65;0,13%;5952.0
60000601220;DEPUTADO FEDERAL;FRANCISCO GOMES FILHO;9087;GOMES FILHO;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;BEBERIBE;16/01/1969;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;COMERCIANTE;N;SUPLENTE;DEFERIDO;1227100.0;500.64;;0,00%;216.0
60000601223;DEPUTADO FEDERAL;FRANCISCO WELLINGTON SABÓIA VITORINO;9000;WELLINGTON SABÓIA;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;FORTALEZA;18/10/1977;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;106000.0;100000.0;0,17%;7818.0
60000622550;DEPUTADO FEDERAL;ANTÔNIA NAZIDE DA SILVA PINHEIRO;1833;NAZIDE PINHEIRO;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;QUIXADÁ;16/12/1964;FEMININO;ENSINO FUNDAMENTAL COMPLETO;VIÚVO(A);PRETA;OUTROS;N;NÃO ELEITO;DEFERIDO;;2980.0;800.0;0,00%;174.0
60000605037;DEPUTADO FEDERAL;CLAUDIO AUGUSTO DA SILVA DANTAS;7011;CLAUDIO DANTAS;APTO;DEFERIDO;70;AVANTE;AVANTE;FORTALEZA;21/02/1975;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;COMERCIANTE;N;SUPLENTE;DEFERIDO;260000.0;16550.0;3050.0;0,04%;1978.0
60000622545;DEPUTADO FEDERAL;JOANA DARC DA SILVA;1808;PROFESSORA JOANA-TIA VANDINHA;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;PACATUBA;12/01/1967;FEMININO;SUPERIOR COMPLETO;VIÚVO(A);PARDA;PROFESSOR DE ENSINO FUNDAMENTAL;N;NÃO ELEITO;DEFERIDO;25000.0;4430.0;2066.4;0,01%;687.0
60000620560;DEPUTADO FEDERAL;AMAURI COSTA SALES DA SILVA;5003;AMAURI COSTA;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;FORTALEZA;03/05/1961;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;N;NÃO ELEITO;DEFERIDO;;2605.95;;0,00%;119.0
60000630072;DEPUTADO FEDERAL;GISELE FELIPE BRAGA;1522;GISELE BRAGA;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;FORTALEZA;24/01/1968;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PARDA;RECEPCIONISTA;N;SUPLENTE;PENDENTE DE JULGAMENTO;;414782.86;299968.36;0,03%;1239.0
60000611217;DEPUTADO FEDERAL;FRANCISCO ALBUQUERQUE MOURA;2800;MOURA;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;MASSAPÊ;05/01/1970;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;TAXISTA;N;SUPLENTE;DEFERIDO;92125.81999999999;28720.0;22649.85;0,15%;6981.0
60000605015;DEPUTADO FEDERAL;RONALDO MANCHADO MARTINS;1010;RONALDO MARTINS;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;SÃO PAULO;21/01/1978;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;DEPUTADO;S;SUPLENTE;DEFERIDO;263851.86;1141661.17;1118985.02;2,20%;101089.0
60000604496;DEPUTADO FEDERAL;SAMARA NOBREGA SILVA PONTES;3003;SAMARA PONTES;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;FORTALEZA;11/01/1975;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;PROFESSOR DE ENSINO SUPERIOR;N;NÃO ELEITO;DEFERIDO;;2348.87;1115.05;0,02%;1006.0
60000605036;DEPUTADO FEDERAL;CÍCERO ANTONIO PINHEIRO DOS SANTOS;7000;ANIMAL DAS PISTAS;APTO;DEFERIDO;70;AVANTE;AVANTE;FORTALEZA;30/11/1976;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;SUPLENTE;DEFERIDO;;14500.0;;0,02%;736.0
60000611766;DEPUTADO FEDERAL;DIMARAES NUNES PEREIRA;1733;DIMARAES NUNES;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;FORTALEZA;31/03/1971;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;N;SUPLENTE;DEFERIDO;43500.0;;;0,01%;410.0
60000611235;DEPUTADO FEDERAL;ANTONIO CLÉCIO BATISTA DE OLIVEIRA;5133;CLÉCIO OLIVEIRA;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;FORTALEZA;28/02/1955;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;PROFESSOR DE ENSINO FUNDAMENTAL;N;SUPLENTE;DEFERIDO;458997.44;6000.0;4200.0;0,02%;698.0
